,Nets,Labels
0,BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,5
1,BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,8
2,BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,0
3,BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,8
4,BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,2
5,BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,5
6,BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,13
7,BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,4
8,BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,10
9,BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,2
10,BPI_Challenge_2012.095a9248-4c32-4aca-b60b-2481ece88852.pnml,10
11,BPI_Challenge_2012.8dd76103-bafb-44e6-9846-82efd111ccf7.pnml,10
12,BPI_Challenge_2012.76c87124-025d-4aa6-9154-b84d86f9ec0a.pnml,20
13,BPI_Challenge_2012.3776bb87-0ceb-44cc-b8aa-1ea5a48ad231.pnml,2
14,BPI_Challenge_2012.f58b8813-8f72-48b2-a3b5-fb768238d7b4.pnml,16
15,BPI_Challenge_2012.bd28b87c-883f-46e7-980e-e7d3c881e7af.pnml,21
16,BPI_Challenge_2012.612a8436-d4af-4f20-b99f-9a0d232df47e.pnml,10
17,BPI_Challenge_2012.c9f44678-e401-4446-8ca8-6143ed0b57e8.pnml,4
18,BPI_Challenge_2012.98d91d50-ff6d-4854-a6d6-332f1f05555d.pnml,13
19,BPI_Challenge_2012.512eca77-bc93-41c9-8f0f-416bba7f4bb5.pnml,2
20,BPI_Challenge_2012.c6ff70a1-7215-4587-9879-bcddb5808011.pnml,8
21,BPI_Challenge_2012.eb904056-a521-40b2-b062-3a1631ce37d1.pnml,0
22,BPI_Challenge_2012.43c8aa74-a6f7-4ac1-9538-a5986ec9f4aa.pnml,22
23,BPI_Challenge_2012.a2859b40-7f76-4c87-a156-f2efe35b6bf5.pnml,14
24,BPI_Challenge_2012.5172eb7f-11cb-4f53-9de6-ba496d6ea5bc.pnml,1
