,BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,BPI_Challenge_2012.095a9248-4c32-4aca-b60b-2481ece88852.pnml,BPI_Challenge_2012.8dd76103-bafb-44e6-9846-82efd111ccf7.pnml,BPI_Challenge_2012.76c87124-025d-4aa6-9154-b84d86f9ec0a.pnml,BPI_Challenge_2012.3776bb87-0ceb-44cc-b8aa-1ea5a48ad231.pnml,BPI_Challenge_2012.f58b8813-8f72-48b2-a3b5-fb768238d7b4.pnml,BPI_Challenge_2012.bd28b87c-883f-46e7-980e-e7d3c881e7af.pnml,BPI_Challenge_2012.612a8436-d4af-4f20-b99f-9a0d232df47e.pnml,BPI_Challenge_2012.c9f44678-e401-4446-8ca8-6143ed0b57e8.pnml,BPI_Challenge_2012.98d91d50-ff6d-4854-a6d6-332f1f05555d.pnml,BPI_Challenge_2012.512eca77-bc93-41c9-8f0f-416bba7f4bb5.pnml,BPI_Challenge_2012.c6ff70a1-7215-4587-9879-bcddb5808011.pnml,BPI_Challenge_2012.eb904056-a521-40b2-b062-3a1631ce37d1.pnml,BPI_Challenge_2012.43c8aa74-a6f7-4ac1-9538-a5986ec9f4aa.pnml,BPI_Challenge_2012.a2859b40-7f76-4c87-a156-f2efe35b6bf5.pnml,BPI_Challenge_2012.5172eb7f-11cb-4f53-9de6-ba496d6ea5bc.pnml,BPI_Challenge_2012.59c5682d-b8f2-4923-b110-cfeb99da5e09.pnml,BPI_Challenge_2012.94b5033c-8ea2-4093-8061-8a128c05c252.pnml,BPI_Challenge_2012.420e6f2f-c72a-45ed-847b-2fae6303034e.pnml,BPI_Challenge_2012.f75500b7-06db-4fb0-8cce-afb9189d5402.pnml,BPI_Challenge_2012.c8a738c7-a15e-475c-83db-e5f782ce8d0e.pnml,BPI_Challenge_2012.9c259212-6496-4770-9fd6-15d75a764d96.pnml,BPI_Challenge_2012.a169bda7-f582-4589-919f-927bc53322df.pnml,BPI_Challenge_2012.de927382-50d5-4217-b33e-9b1c084d5c44.pnml,BPI_Challenge_2012.dcaae451-0d80-45e1-a21f-580a09d87397.pnml,BPI_Challenge_2012.0064a212-a5ed-4a12-947a-b4ee3d1b4564.pnml,BPI_Challenge_2012.cd76a7f0-e1d5-4042-bd92-7cc6e89c4757.pnml,BPI_Challenge_2012.19b0bbee-d7b8-4667-bf8d-b39ea17f819d.pnml,BPI_Challenge_2012.3304a063-1c03-4fa7-b8b3-34737579e674.pnml,BPI_Challenge_2012.3b50dd9f-e80d-4031-8242-42e7ea704a81.pnml,BPI_Challenge_2012.3c900653-3559-4c4b-99a1-450e3809ac4c.pnml,BPI_Challenge_2012.bfc1c94b-6ac2-4396-a6e3-81d17d5dddfa.pnml,BPI_Challenge_2012.98b2528d-c5ae-456e-8fbe-2f880487c632.pnml,BPI_Challenge_2012.1fba2b4d-0560-4d2c-a1c6-0eba6a4f177c.pnml,BPI_Challenge_2012.ed1fce6d-1c1e-4d4b-8b68-f48f4bf79640.pnml,BPI_Challenge_2012.fba096f9-bb46-4110-bf70-92d2150b2835.pnml,BPI_Challenge_2012.f31e8d0a-4a24-405e-b7ab-b9a6353a15c2.pnml,BPI_Challenge_2012.608ddf76-3edc-4ddf-9ec5-b0ee2c3fdbd1.pnml,BPI_Challenge_2012.4e949a7e-3d6a-4192-a3a0-83b8673711a8.pnml,BPI_Challenge_2012.657dbf1d-d38b-4348-ae4f-ce19325ee3ff.pnml,BPI_Challenge_2012.2d62f1dc-d53c-42a2-a272-db4ef00346f2.pnml,BPI_Challenge_2012.420f65f1-c007-48db-a393-0975c4a9a589.pnml,BPI_Challenge_2012.ad1bf3ca-655d-4ea2-9473-bf66c02e7092.pnml,BPI_Challenge_2012.3aaa7e17-b984-4cf8-9301-a1d2b46ee1fa.pnml,BPI_Challenge_2012.966a8360-77db-4cd8-bf1d-bf5cf7cb1f4c.pnml,BPI_Challenge_2012.8da129a6-99e6-481a-a3c0-5c008765975b.pnml,BPI_Challenge_2012.28e062b2-6736-4d93-965e-c796b0063e42.pnml,BPI_Challenge_2012.5477599c-71a1-43ec-9eaf-530c9d37429f.pnml,BPI_Challenge_2012.7c928206-afc8-425a-9694-4facad47a1ad.pnml,BPI_Challenge_2012.2dd224a2-1c9d-41fc-b77f-fdc8b2d288c6.pnml,BPI_Challenge_2012.a251888a-c848-436c-ad70-c7ed35c1965e.pnml,BPI_Challenge_2012.a8e2053f-f7f0-41b0-840b-8fb83e1a2a70.pnml,BPI_Challenge_2012.11fbb10c-0881-415e-8674-8907bc2de899.pnml,BPI_Challenge_2012.e7c90d39-8fa9-49c3-ade5-477c5ae002e3.pnml,BPI_Challenge_2012.430b2104-4320-44fd-9192-247d89797f8f.pnml,BPI_Challenge_2012.daff0008-2f9e-4487-a96a-370fa3a7835a.pnml,BPI_Challenge_2012.fc3d48a0-17da-4b37-93f1-59329737450e.pnml,BPI_Challenge_2012.f576ee6a-4ad7-4050-b116-d2640003a3d7.pnml,BPI_Challenge_2012.c0bb00d8-1916-4c98-b241-048b66ba25ab.pnml,BPI_Challenge_2012.5851cec6-79d9-48ee-bb59-83a1f180a338.pnml,BPI_Challenge_2012.fca66884-d13e-48c0-9f07-d464ed54ff5f.pnml,BPI_Challenge_2012.2bb9c72f-fc09-4417-9417-54dab403be22.pnml,BPI_Challenge_2012.162d629b-9220-4c6d-9b71-b3bc6949b7a1.pnml,BPI_Challenge_2012.5fbd385b-aa68-4e9b-bd1a-eea17edc30f7.pnml,BPI_Challenge_2012.1e813ca7-6dab-419f-bf2b-2a00917fb07c.pnml,BPI_Challenge_2012.2792e49b-02b3-4958-9190-20c73d1c2fe5.pnml,BPI_Challenge_2012.5a14d014-04fe-479a-a0dc-e277c7ffd98c.pnml,BPI_Challenge_2012.556b3e57-a88f-406f-9dcc-cb6a9930bc56.pnml,BPI_Challenge_2012.9bb8d0cf-c586-48f5-9c1d-32e008557adc.pnml,BPI_Challenge_2012.9ed36524-63c3-4756-a096-fd28dd360e30.pnml
BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,0.00046079799999976245,0.00023446299999996256,0.0002400909999997758,0.00024135400000036,0.0002372130000001249,0.0002422220000002362,0.0002477649999996778,0.0002552260000001638,0.00023370600000038877,0.00023803300000002636,0.0002543170000000039,0.00023927600000028804,0.0002731099999997433,0.0002713390000002036,0.0002367809999999082,0.0002356859999999017,0.0002487699999997872,0.0002811259999999649,0.00024156899999994152,0.00023857600000010137,0.00026261199999932927,0.0002483690000003591,0.0002509289999998998,0.0002693760000003209,0.00023596300000061632,0.00035352200000016154,0.00023509299999968647,0.00023491399999997498,0.000264612000000497,0.00025645799999995944,0.0002349829999994668,0.0002576339999995625,0.00026502299999986434,0.00023567800000012795,0.0002384869999998429,0.00023487800000054904,0.0002487130000004001,0.0002372910000003614,0.00024834900000048066,0.00024585899999962635,0.00023996100000012177,0.00023918700000002957,0.00023163399999948098,0.00023722300000006413,0.00023415099999990474,0.00023561400000016164,0.0002481579999997763,0.00024557600000019164,0.00023096299999991743,0.0002411219999993719,0.00024091100000056542,0.00023682599999919063,0.00023676300000019523,0.00023595299999978891,0.00023129199999960548,0.00024486399999990027,0.00025439100000035353,0.00023727100000137114,0.00023754200000070114,0.0002367449999987059,0.00023718599999966727,0.0002482009999997814,0.0002542040000008683,0.00023619999999979768,0.00023896699999959026,0.0002372980000000524,0.00023640899999932685,0.00023061599999962823,0.00023533799999952976,0.0002365159999992983,0.00024241299999872012,0.00023018399999941153,0.00026656900000077144,0.00025172899999859055,0.00023245300000063196,0.00023537800000106301,0.00023645699999974568,0.00026501499999831424,0.00027698599999936846
BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,0.00017813399999999646,0.0001649969999997225,0.00016935699999987008,0.00017195100000000352,0.00016553200000002377,0.00016869400000008028,0.00017034900000023612,0.00016876600000026443,0.0001631520000002773,0.00016776399999995917,0.0001666439999996605,0.00016791399999993573,0.0001737510000001663,0.00017052599999978213,0.00016450700000003593,0.0001647540000000447,0.00016532799999957604,0.00019371299999981773,0.00020750000000013813,0.00016591700000034848,0.0001686069999999873,0.00016970600000032476,0.00016941700000039361,0.00017003500000001281,0.00016648400000018881,0.00017610400000034332,0.00018479100000057258,0.00016558999999993773,0.00020305999999958857,0.00016900800000030358,0.00016650400000006726,0.0001674079999993694,0.00019282700000022857,0.0001660570000003858,0.0001677999999998292,0.00019046300000002958,0.00016621800000038434,0.0001667899999997502,0.00016684299999969454,0.00016332700000010192,0.00017214300000034655,0.00016720200000008845,0.00016439400000045623,0.0001661129999996902,0.00016643500000057543,0.00016644199999937825,0.0001700299999995991,0.00017090700000021997,0.00016290000000029892,0.00016690999999990908,0.00016835600000053574,0.0001674440000005717,0.00021184499999993278,0.00016505199999983233,0.00016125099999975134,0.00019723900000023775,0.00017508500000040783,0.0001658400000010829,0.00018229400000002727,0.00022355399999973713,0.0001679770000002634,0.00016943199999985836,0.00017307600000115997,0.00016384700000138253,0.00016759599999893737,0.00016716200000033155,0.00018142900000128748,0.0001609139999985132,0.00016725999999955832,0.00016488899999878015,0.0001668889999990597,0.00016199500000091405,0.0001725600000010985,0.0002722839999993454,0.00016357800000044165,0.00016657200000125272,0.00016644100000107187,0.00019083199999947453,0.00019778599999931146
BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,0.00017607900000005117,0.00017005200000008713,0.00017661399999990834,0.00017461800000040384,0.00018164700000022904,0.00030381599999973474,0.00017562999999976014,0.0001720519999999226,0.00016889299999967022,0.00017174699999999987,0.00016997699999965477,0.00017231100000003607,0.0001791120000000923,0.00017400300000014468,0.0001690630000004134,0.00024296000000045836,0.0001693270000000524,0.00019509200000022986,0.0001749050000006136,0.0001694470000002113,0.0001706759999997587,0.00017796299999961462,0.0001703720000003628,0.00017189300000008956,0.00016988300000075895,0.000177307000000404,0.00017396899999955195,0.00021028300000036637,0.00019870900000018565,0.00017291200000002505,0.00017114700000053773,0.00017398299999982214,0.00019545500000006655,0.00020937900000017606,0.00017019100000048581,0.00017499800000031485,0.00017096599999977258,0.0001692979999994293,0.00017170299999946792,0.0001665069999994273,0.00017046000000053851,0.00016931700000011318,0.00016740199999976113,0.00017057400000020095,0.00017231899999980982,0.00017137200000050257,0.00017478599999964928,0.0001752380000006326,0.00016687799999992592,0.0001722639999997,0.00017090199999980626,0.00017629500000015952,0.00018205299999962676,0.0001710020000000867,0.0001933400000000418,0.00022303300000015014,0.00017733600000013894,0.00017042800000055536,0.00017119199999982015,0.00017863000000062357,0.00017144700000137902,0.00017192000000143537,0.0001721180000000544,0.0001663780000011883,0.0001716560000009082,0.00017194299999978568,0.00018639199999981315,0.00016800500000080376,0.00017187799999973663,0.00017005299999972578,0.00017255999999932214,0.00016650700000120366,0.00017006200000047045,0.00018099100000057433,0.0001659440000008061,0.00017167400000062116,0.0001872609999988839,0.00022667799999886995,0.00020505100000001164
BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,0.00017445899999968262,0.0001689659999999371,0.00017323600000018757,0.00017418799999990853,0.0001694780000001117,0.00018989299999994103,0.00017483699999987223,0.00017125400000006508,0.00016818299999998843,0.00017095099999986374,0.00016687799999992592,0.00017314400000012498,0.00018934299999973092,0.00022401499999968877,0.0002666100000006111,0.00017683300000026492,0.00016897400000015494,0.00019750600000012497,0.00017077200000059634,0.00020648399999956268,0.00017582400000026865,0.00017486499999996852,0.00017035599999992712,0.0001701220000001058,0.00016927799999955084,0.0001951140000002738,0.0001713820000004418,0.00017437200000003372,0.0001963099999997553,0.0001719630000005523,0.00017023600000065642,0.00017261000000079463,0.00019531399999994647,0.0001789439999999587,0.00017041100000003695,0.00016941500000022813,0.0001687210000005379,0.00017052699999986487,0.00016884400000005684,0.00016706399999932842,0.0001691519999997837,0.00016996200000019002,0.00016603400000025914,0.00018269500000034355,0.00016935599999978734,0.00016883699999947765,0.00017345000000013044,0.00017355099999960544,0.0001887949999996863,0.00017080699999993953,0.00017008500000059712,0.00017264500000013783,0.0001763439999997729,0.00016922599999968924,0.00016964400000052393,0.00017279400000003164,0.00017772400000026778,0.00017153900000010935,0.00017061699999842972,0.00017240699999909737,0.00017315599999889741,0.00017081400000051872,0.000172433999999555,0.00016696999999865625,0.00019652800000002912,0.00017216999999902782,0.00017192600000015545,0.00020162900000109119,0.0001908359999998055,0.00016860999999934734,0.0001705350000005268,0.0001690859999996519,0.0001716560000009082,0.00017230599999962237,0.0001659390000003924,0.00017157899999986626,0.00017764300000067124,0.0001999490000006432,0.0002028389999999547
BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,0.0001715120000000958,0.00016392200000003854,0.00016863400000000084,0.00016886500000001803,0.00016506700000018526,0.00017505900000003294,0.00016808899999976035,0.0001653440000000117,0.00020211899999988958,0.00016523899999976166,0.00016149200000015185,0.0001649449999998609,0.00017225599999992625,0.00016957100000025704,0.00018062300000032394,0.0001659720000004583,0.00019873100000022959,0.00018999700000055242,0.0001646360000000513,0.0001730740000001063,0.00016719699999967474,0.00019320399999944726,0.00016319599999992107,0.00016532600000029873,0.0001821580000003209,0.00016832799999999537,0.0001654849999992436,0.0001658700000000124,0.00019301500000068472,0.0001657100000000966,0.0001650350000002021,0.00016633999999982052,0.0002400820000003634,0.00017174099999994752,0.00016461299999992463,0.00016558400000032947,0.00023006899999966635,0.00019705900000044352,0.00016392900000017363,0.00016045299999944973,0.00022603199999959855,0.00016349000000026592,0.00016073200000032983,0.00016499300000027972,0.0001631069999996626,0.00016700500000066398,0.00016604599999947567,0.00016596200000051908,0.00016646100000006214,0.0001649449999998609,0.00016564999999957308,0.00016666899999950857,0.00017236399999998042,0.00020795700000064699,0.00016144800000006398,0.00016130499999977843,0.0001714759999993376,0.00016522399999985282,0.00016426500000044086,0.00018166099999916696,0.0001652609999993615,0.00016572199999842496,0.00016543300000115835,0.00016351499999878172,0.0001694380000003548,0.00016577099999892653,0.00016337799999988079,0.00016894100000008905,0.0001714740000000603,0.0001639199999985408,0.00016582399999975905,0.00015915100000007953,0.00016382599999964498,0.00016627199999952325,0.0001626679999997549,0.0001645390000000191,0.00017118800000126555,0.00019182800000017153,0.00019684000000097512
BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,0.00017516700000008711,0.0001693619999998397,0.00017373599999981337,0.00017446999999970458,0.00016999999999978144,0.00018255599999994487,0.00017546700000004023,0.00017381400000004987,0.00017618499999993986,0.0001716319999998106,0.00021933400000007097,0.00017223800000021328,0.0001769949999999021,0.00017165199999968905,0.0001751270000003302,0.0001698409999999484,0.00017634499999985565,0.000194777000000812,0.00016916700000013662,0.00017549099999936146,0.00016897099999990672,0.00017963900000061983,0.0003088739999999035,0.0001700680000000787,0.0001760019999998974,0.00017339399999993788,0.00016977599999989934,0.00017128699999968688,0.00019605399999989004,0.00017132700000033196,0.0001686379999998877,0.00017193299999984646,0.00020665799999974865,0.00020471100000030162,0.00017201500000041392,0.00017127200000022214,0.00017348500000036182,0.00017322599999936017,0.00016898600000025965,0.00016491200000068318,0.00017529100000057696,0.00020198899999979147,0.00016493700000008715,0.0001693689999999748,0.00016945100000054225,0.00016993499999973238,0.00017464200000016916,0.00017223399999988231,0.00016885100000063602,0.00016969799999966284,0.00017217700000049518,0.00017054799999982606,0.0001738309999996801,0.00017698699999968426,0.00016752199999992,0.00016648499999938338,0.0001729370000003172,0.00017009000000101082,0.00019643799999968792,0.0001722169999993639,0.00017231899999892164,0.00017059800000041037,0.00017350699999951757,0.0001666380000013845,0.00017197899999921162,0.00017260399999941,0.00016953799999974706,0.0001727770000012896,0.0001713280000004147,0.00016941300000006265,0.00023271599999930004,0.00016383899999894425,0.0001796360000003716,0.00017156700000064973,0.00016514199999839718,0.0002737049999996799,0.00022029800000034072,0.00019621699999916586,0.00020282200000032446
BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,0.00017355899999982327,0.00017017100000016327,0.00017486100000008165,0.0001724720000000346,0.00016965800000035003,0.0001749399999999568,0.00017921500000017687,0.00017227100000027917,0.00018222899999997821,0.00021489000000007863,0.0001907490000001566,0.00017109300000006655,0.00017680799999997276,0.00017161500000018037,0.00017249599999935583,0.00017240699999998554,0.00017346699999976067,0.0001950270000001808,0.0001868199999996989,0.0001757520000005286,0.00023674200000023404,0.00017511800000047373,0.00018827700000034753,0.0001976130000000964,0.0001743740000001992,0.00017404899999995394,0.00020638000000072765,0.0001826889999998471,0.0001954209999999179,0.00019084400000046742,0.0001690979999997566,0.00020467299999982203,0.00019761799999962193,0.00017412500000002495,0.00016833900000001734,0.00016986499999926963,0.00020141999999978566,0.00017892899999960576,0.00017117300000002444,0.0001651670000004657,0.0001708389999999227,0.0001722969999997659,0.00016642499999974802,0.0001712620000002829,0.00016992699999995864,0.00016966300000031964,0.00020622700000050287,0.00017031600000017022,0.00016760199999943381,0.00017063000000039352,0.00016968599999955813,0.0002150290000004773,0.00017196299999966413,0.00017076199999976893,0.00016891799999996238,0.0001660679999995196,0.00016966400000040238,0.00022842899999986344,0.00017876399999927628,0.00017211699999997165,0.00017126499999875477,0.00017149099999969053,0.00017272300000037433,0.00016849200000024211,0.00017311699999922325,0.00021147400000032235,0.0001706549999997975,0.00017149700000018697,0.0001711180000008028,0.0001688709999996263,0.00020855500000038774,0.00016567299999969975,0.0001767810000004033,0.00017267600000003824,0.00016525699999903054,0.00018171800000033045,0.00017707099999952902,0.00019518100000048832,0.00021719199999914451
BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,0.00018627100000001562,0.00017062499999997982,0.0001750110000000582,0.0001749000000001999,0.00016964400000007984,0.00017407800000013296,0.00017406800000019373,0.00017305900000019747,0.00016985199999997036,0.00017800200000017696,0.00017101900000016101,0.0001716059999998798,0.00022529899999979008,0.0001704119999996756,0.00017032099999969574,0.00016785499999993903,0.0001754609999995438,0.00036350500000015273,0.00017223899999940784,0.0001752710000006985,0.00017572500000007096,0.0001903410000005934,0.00017465999999988213,0.00017274999999994378,0.0001716460000000808,0.0001725779999999233,0.000179941999999933,0.00017161899999962316,0.0001956849999995569,0.00017221900000041757,0.00019517200000063184,0.00017274999999994378,0.00019651900000017264,0.00017077700000012186,0.0001693639999995611,0.0001706429999996928,0.00017332700000061152,0.00017691600000002694,0.00016936299999947835,0.00018344600000030908,0.00017267299999979002,0.00017340299999979436,0.00016724700000025905,0.0001700909999993172,0.00017067000000015042,0.0001712779999998304,0.00017906600000028305,0.00016992699999995864,0.0001675410000006039,0.00020316300000011722,0.00017027899999977336,0.00017999299999971186,0.00016990800000016293,0.0001861239999998432,0.00017634499999985565,0.0001670310000001507,0.0001705940000000794,0.00017996200000069962,0.00017509899999978984,0.00017120600000097852,0.0002076580000007766,0.00017033099999963497,0.0001731520000003428,0.00029990400000023953,0.00017061800000028882,0.00018580600000106529,0.0001710819999996005,0.000169955000000499,0.00017055200000015702,0.0002452039999987221,0.00018004700000062712,0.00020268199999939895,0.0001766669999998527,0.0001711429999993186,0.00016601299999940977,0.0001773039999992676,0.00017174099999905934,0.00019570699999960084,0.00019957800000014458
BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,0.0001685600000000953,0.00016467500000016955,0.00017214700000023342,0.00016892400000001473,0.00016474400000010547,0.00016845300000012386,0.00022803500000012633,0.0001668210000000947,0.00016322600000018284,0.00018950499999981218,0.00016436800000008134,0.0002441730000000142,0.0001743689999997855,0.00016568200000000033,0.00016547199999994433,0.00016399900000063639,0.0001698530000000531,0.00021193099999994303,0.00016671900000009288,0.00016927800000043902,0.0001679470000004457,0.00018814700000024942,0.00016880799999974272,0.00016658100000022102,0.00016432299999991073,0.0001657449999994398,0.00017092100000049015,0.0001650299999997884,0.0002133840000002607,0.0001677510000002158,0.00018188199999968901,0.00016349499999979145,0.00019042000000002446,0.00016545799999967414,0.00017575700000005412,0.00016570600000065383,0.0001662690000001632,0.00016950900000001212,0.00021374199999968369,0.00016691799999968282,0.00016337299999946708,0.00016772299999967544,0.0001714220000001987,0.00016451900000014064,0.00016509700000000294,0.00018624799999944486,0.00017112200000024558,0.00021339500000028266,0.0001865020000000328,0.00016757800000011258,0.0001641550000002212,0.0001732649999999225,0.00016761499999962126,0.00016690399999941263,0.00017422099999997442,0.00016081800000034008,0.00020600499999989808,0.00016836499999861587,0.00017031899999864208,0.0001674840000003286,0.00017526200000084202,0.00016555600000067727,0.00016558999999993773,0.00017333500000127344,0.00016607199999896238,0.00016776300000032052,0.00016472600000128068,0.00016456600000047672,0.00016638399999990838,0.00017545600000090644,0.00017211500000158253,0.00016672300000131202,0.00017048399999985975,0.00016923799999979394,0.00017957100000032256,0.00016762300000117136,0.00017797299999955385,0.00019014599999955806,0.00019196299999890698
BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,0.0001913669999997758,0.0001689730000000722,0.0001748599999999989,0.00017349500000030105,0.00016891099999982728,0.00017332299999983647,0.00018307400000017182,0.00028407399999963445,0.00016604099999995015,0.00017711500000006097,0.00016903800000012126,0.00018052699999993038,0.00017817800000008432,0.00027180199999987664,0.00016909300000023109,0.00022165599999990349,0.00017419799999984775,0.00020442499999973052,0.00017049800000012993,0.00029101999999969763,0.00017313699999998988,0.00019191799999962456,0.00017556500000015518,0.00017069899999988536,0.00016853500000024724,0.00017057000000075817,0.00018795600000043322,0.00016869500000016302,0.0001996959999992498,0.00017185300000033266,0.00017200499999958652,0.00018127500000009178,0.00019613999999990028,0.0001702349999996855,0.00016937499999958305,0.00017098199999932007,0.00017149600000010423,0.0001747610000002453,0.00017780200000050428,0.0001676279999998087,0.00016930600000009122,0.0001716040000001584,0.00017189200000000682,0.00016884899999958236,0.0001686000000002963,0.00017624499999957521,0.00017676300000069034,0.00017654600000049925,0.00017053899999996958,0.0001716370000002243,0.00020610199999993029,0.00017676600000005038,0.0001716079999996012,0.00017009899999997913,0.0001668209999996506,0.0001648949999992766,0.00017376000000002279,0.00017103899999959538,0.00017518500000157644,0.00017032200000066666,0.00017664399999972602,0.0002525570000013744,0.00017187099999915745,0.00016806100000010815,0.00017115600000039422,0.00017145099999993363,0.0001687439999997764,0.00017313100000038162,0.00018862900000016225,0.00017250000000146315,0.00017646799999937457,0.0001668710000011231,0.00017549200000033238,0.00017174400000108392,0.00016862300000042296,0.00018382300000041596,0.0001736349999994502,0.00019530099999975903,0.00019714199999931736
