,BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,BPI_Challenge_2012.095a9248-4c32-4aca-b60b-2481ece88852.pnml,BPI_Challenge_2012.8dd76103-bafb-44e6-9846-82efd111ccf7.pnml,BPI_Challenge_2012.76c87124-025d-4aa6-9154-b84d86f9ec0a.pnml,BPI_Challenge_2012.3776bb87-0ceb-44cc-b8aa-1ea5a48ad231.pnml,BPI_Challenge_2012.f58b8813-8f72-48b2-a3b5-fb768238d7b4.pnml,BPI_Challenge_2012.bd28b87c-883f-46e7-980e-e7d3c881e7af.pnml,BPI_Challenge_2012.612a8436-d4af-4f20-b99f-9a0d232df47e.pnml,BPI_Challenge_2012.c9f44678-e401-4446-8ca8-6143ed0b57e8.pnml,BPI_Challenge_2012.98d91d50-ff6d-4854-a6d6-332f1f05555d.pnml,BPI_Challenge_2012.512eca77-bc93-41c9-8f0f-416bba7f4bb5.pnml,BPI_Challenge_2012.c6ff70a1-7215-4587-9879-bcddb5808011.pnml,BPI_Challenge_2012.eb904056-a521-40b2-b062-3a1631ce37d1.pnml,BPI_Challenge_2012.43c8aa74-a6f7-4ac1-9538-a5986ec9f4aa.pnml,BPI_Challenge_2012.a2859b40-7f76-4c87-a156-f2efe35b6bf5.pnml,BPI_Challenge_2012.5172eb7f-11cb-4f53-9de6-ba496d6ea5bc.pnml,BPI_Challenge_2012.59c5682d-b8f2-4923-b110-cfeb99da5e09.pnml,BPI_Challenge_2012.94b5033c-8ea2-4093-8061-8a128c05c252.pnml,BPI_Challenge_2012.420e6f2f-c72a-45ed-847b-2fae6303034e.pnml,BPI_Challenge_2012.f75500b7-06db-4fb0-8cce-afb9189d5402.pnml,BPI_Challenge_2012.c8a738c7-a15e-475c-83db-e5f782ce8d0e.pnml,BPI_Challenge_2012.9c259212-6496-4770-9fd6-15d75a764d96.pnml,BPI_Challenge_2012.a169bda7-f582-4589-919f-927bc53322df.pnml,BPI_Challenge_2012.de927382-50d5-4217-b33e-9b1c084d5c44.pnml,BPI_Challenge_2012.dcaae451-0d80-45e1-a21f-580a09d87397.pnml,BPI_Challenge_2012.0064a212-a5ed-4a12-947a-b4ee3d1b4564.pnml,BPI_Challenge_2012.cd76a7f0-e1d5-4042-bd92-7cc6e89c4757.pnml,BPI_Challenge_2012.19b0bbee-d7b8-4667-bf8d-b39ea17f819d.pnml,BPI_Challenge_2012.3304a063-1c03-4fa7-b8b3-34737579e674.pnml,BPI_Challenge_2012.3b50dd9f-e80d-4031-8242-42e7ea704a81.pnml,BPI_Challenge_2012.3c900653-3559-4c4b-99a1-450e3809ac4c.pnml,BPI_Challenge_2012.bfc1c94b-6ac2-4396-a6e3-81d17d5dddfa.pnml,BPI_Challenge_2012.98b2528d-c5ae-456e-8fbe-2f880487c632.pnml,BPI_Challenge_2012.1fba2b4d-0560-4d2c-a1c6-0eba6a4f177c.pnml,BPI_Challenge_2012.ed1fce6d-1c1e-4d4b-8b68-f48f4bf79640.pnml,BPI_Challenge_2012.fba096f9-bb46-4110-bf70-92d2150b2835.pnml,BPI_Challenge_2012.f31e8d0a-4a24-405e-b7ab-b9a6353a15c2.pnml,BPI_Challenge_2012.608ddf76-3edc-4ddf-9ec5-b0ee2c3fdbd1.pnml,BPI_Challenge_2012.4e949a7e-3d6a-4192-a3a0-83b8673711a8.pnml,BPI_Challenge_2012.657dbf1d-d38b-4348-ae4f-ce19325ee3ff.pnml,BPI_Challenge_2012.2d62f1dc-d53c-42a2-a272-db4ef00346f2.pnml,BPI_Challenge_2012.420f65f1-c007-48db-a393-0975c4a9a589.pnml,BPI_Challenge_2012.ad1bf3ca-655d-4ea2-9473-bf66c02e7092.pnml,BPI_Challenge_2012.3aaa7e17-b984-4cf8-9301-a1d2b46ee1fa.pnml,BPI_Challenge_2012.966a8360-77db-4cd8-bf1d-bf5cf7cb1f4c.pnml,BPI_Challenge_2012.8da129a6-99e6-481a-a3c0-5c008765975b.pnml,BPI_Challenge_2012.28e062b2-6736-4d93-965e-c796b0063e42.pnml,BPI_Challenge_2012.5477599c-71a1-43ec-9eaf-530c9d37429f.pnml,BPI_Challenge_2012.7c928206-afc8-425a-9694-4facad47a1ad.pnml,BPI_Challenge_2012.2dd224a2-1c9d-41fc-b77f-fdc8b2d288c6.pnml,BPI_Challenge_2012.a251888a-c848-436c-ad70-c7ed35c1965e.pnml,BPI_Challenge_2012.a8e2053f-f7f0-41b0-840b-8fb83e1a2a70.pnml,BPI_Challenge_2012.11fbb10c-0881-415e-8674-8907bc2de899.pnml,BPI_Challenge_2012.e7c90d39-8fa9-49c3-ade5-477c5ae002e3.pnml,BPI_Challenge_2012.430b2104-4320-44fd-9192-247d89797f8f.pnml,BPI_Challenge_2012.daff0008-2f9e-4487-a96a-370fa3a7835a.pnml,BPI_Challenge_2012.fc3d48a0-17da-4b37-93f1-59329737450e.pnml,BPI_Challenge_2012.f576ee6a-4ad7-4050-b116-d2640003a3d7.pnml,BPI_Challenge_2012.c0bb00d8-1916-4c98-b241-048b66ba25ab.pnml,BPI_Challenge_2012.5851cec6-79d9-48ee-bb59-83a1f180a338.pnml,BPI_Challenge_2012.fca66884-d13e-48c0-9f07-d464ed54ff5f.pnml,BPI_Challenge_2012.2bb9c72f-fc09-4417-9417-54dab403be22.pnml,BPI_Challenge_2012.162d629b-9220-4c6d-9b71-b3bc6949b7a1.pnml,BPI_Challenge_2012.5fbd385b-aa68-4e9b-bd1a-eea17edc30f7.pnml,BPI_Challenge_2012.1e813ca7-6dab-419f-bf2b-2a00917fb07c.pnml,BPI_Challenge_2012.2792e49b-02b3-4958-9190-20c73d1c2fe5.pnml,BPI_Challenge_2012.5a14d014-04fe-479a-a0dc-e277c7ffd98c.pnml,BPI_Challenge_2012.556b3e57-a88f-406f-9dcc-cb6a9930bc56.pnml,BPI_Challenge_2012.9bb8d0cf-c586-48f5-9c1d-32e008557adc.pnml,BPI_Challenge_2012.9ed36524-63c3-4756-a096-fd28dd360e30.pnml
BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,0.0005825019999994296,0.00017953799999936848,0.00013490899999979433,0.00013209200000030563,0.00013041000000058034,0.00013149000000023392,0.0001802089999998202,0.00018713500000000494,0.00018124999999979963,0.0001420510000000874,0.00013480600000015386,0.00013996099999946665,0.00013715399999991718,0.00013341800000077342,0.00017090799999941453,0.00013930300000009055,0.0001336370000002418,0.00016993599999981512,0.0001345500000002886,0.0001301419999997222,0.0001308170000005049,0.00013184599999949143,0.00016437999999929787,0.0001720640000000273,0.00012909400000005178,0.0001333040000002228,0.0001280089999999845,0.0001631570000002469,0.0001697039999992711,0.00013798799999964473,0.0001328320000002492,0.00012878699999951948,0.00012870000000031467,0.00016346499999997377,0.00012963300000023992,0.0001274919999998403,0.00016603699999961918,0.00012752300000062888,0.00012780199999973263,0.00012822899999953563,0.00016383399999941872,0.00012862400000024365,0.00016896900000062942,0.00017050800000006916,0.000125546000000476,0.0001637350000001092,0.0001633410000003721,0.00012770900000003138,0.00017873599999962408,0.00015845500000022383,0.0001306259999998005,0.00017090000000052896,0.0001277310000000753,0.0002945749999998526,0.00013582999999961487,0.0001279829999996096,0.00012930299999958095,0.00016324399999945172,0.0001267660000001669,0.00012683699999982423,0.00016430700000036325,0.00016443899999973866,0.00016486200000009887,0.00012709800000010318,0.00016384400000024613,0.00012708800000016396,0.00016395799999990857,0.0001442779999996091,0.00012912000000042667,0.0001644120000001692,0.0001558579999993981,0.00016967200000017613,0.00016953100000005605,0.00017155300000037954,0.00015739700000061418,0.00012843300000042746,0.0001601270000000099,0.0001289460000002407,0.00016652700000019394
BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,0.00011282799999978721,9.10349999996285e-05,7.113000000025238e-05,7.212399999989572e-05,7.114500000060531e-05,7.14249999997918e-05,9.284799999953464e-05,9.239500000024492e-05,9.202699999999453e-05,7.1941999999936e-05,7.068200000048819e-05,7.132500000039954e-05,7.096900000025386e-05,7.03819999996469e-05,9.121099999997995e-05,6.954299999950564e-05,7.046799999965714e-05,9.241299999995789e-05,7.483700000054938e-05,7.05170000001587e-05,7.067399999982626e-05,7.07079999999749e-05,9.082799999937663e-05,9.356400000015697e-05,0.000102925000000198,7.066499999996978e-05,6.963900000034329e-05,9.585100000020219e-05,9.233299999955591e-05,7.094500000004444e-05,0.00011220800000000253,7.026799999998445e-05,9.248900000002891e-05,9.022599999930492e-05,7.020600000018362e-05,7.017099999995224e-05,9.692199999999929e-05,7.007399999992003e-05,7.058299999940232e-05,7.008299999977652e-05,9.067099999970907e-05,7.142900000012276e-05,9.168400000003629e-05,9.357400000009619e-05,7.005600000020706e-05,9.665199999986385e-05,9.029499999968493e-05,9.05800000001733e-05,9.271200000071644e-05,8.437299999997094e-05,7.023299999975308e-05,9.118799999985328e-05,6.977800000029788e-05,7.151400000005026e-05,7.635700000019341e-05,7.187799999996969e-05,7.070900000005764e-05,9.033200000008179e-05,6.989199999996032e-05,7.087500000046987e-05,7.02429999996923e-05,9.121699999958821e-05,9.195699999953177e-05,0.00010036699999993459,9.0435999999805e-05,6.963399999992959e-05,9.209600000037454e-05,7.274300000048584e-05,7.171699999997116e-05,9.372899999959827e-05,9.106700000049983e-05,9.109200000079198e-05,9.543200000017293e-05,9.567700000001622e-05,9.117699999983131e-05,7.026699999990171e-05,9.112200000060966e-05,7.388399999985751e-05,9.169000000053273e-05
BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,9.450499999985595e-05,8.920299999992665e-05,6.870599999952987e-05,6.752300000023581e-05,6.843199999995164e-05,6.796499999950356e-05,8.922099999963962e-05,8.867900000009143e-05,8.930899999981534e-05,6.794899999995607e-05,8.552999999977828e-05,6.852700000070655e-05,6.767999999990337e-05,6.781000000000148e-05,8.746399999992605e-05,6.710200000004107e-05,6.757400000001468e-05,6.837000000015081e-05,6.830899999954454e-05,6.78739999999678e-05,6.711600000031126e-05,6.79310000002431e-05,8.684199999997588e-05,8.791299999977298e-05,8.798600000048395e-05,6.711100000078574e-05,6.739200000005496e-05,8.895599999991788e-05,8.882900000006799e-05,6.82330000003617e-05,8.883900000000722e-05,6.776699999999636e-05,8.890000000061349e-05,8.66020000005463e-05,6.739200000005496e-05,6.77280000003222e-05,8.869100000019614e-05,6.82400000000527e-05,6.794799999987333e-05,6.675300000047457e-05,8.881800000004603e-05,6.945999999974362e-05,8.741400000022992e-05,8.970100000027514e-05,6.73530000003808e-05,8.794800000000436e-05,8.760100000060334e-05,8.748199999963902e-05,9.692199999999929e-05,7.941999999960814e-05,6.696899999969474e-05,8.697099999999125e-05,6.685699999930961e-05,6.77819999994611e-05,6.833700000008491e-05,6.863900000020351e-05,6.807100000028043e-05,8.681999999993195e-05,6.762800000004177e-05,6.806300000050669e-05,6.751300000029659e-05,8.757799999958849e-05,8.853000000019762e-05,8.667800000061732e-05,7.287599999994399e-05,6.672099999960324e-05,8.795600000066628e-05,6.849000000030969e-05,6.833200000055939e-05,8.828699999963163e-05,8.717099999966393e-05,8.78899999996463e-05,8.768600000053084e-05,9.006599999938913e-05,8.70290000003493e-05,0.00010445100000033847,9.436499999981862e-05,6.901999999975317e-05,8.945300000018364e-05
BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,9.028900000007667e-05,8.877199999979268e-05,6.829600000024527e-05,6.666500000029885e-05,6.814600000026871e-05,0.00013321600000004707,8.811499999961114e-05,8.74249999993637e-05,8.769799999974737e-05,6.752600000048403e-05,8.717199999974667e-05,6.781600000049792e-05,6.724400000024389e-05,6.665800000060784e-05,8.702600000010108e-05,0.00010335600000033196,6.695500000031274e-05,6.8227999999948e-05,6.804100000046276e-05,6.663799999984121e-05,6.666799999965889e-05,6.730300000068468e-05,8.651000000003961e-05,8.749399999974372e-05,8.614700000020292e-05,8.673399999992171e-05,6.670900000038671e-05,8.720800000006079e-05,8.766400000048691e-05,6.744299999983383e-05,8.724899999990043e-05,6.64229999998156e-05,8.850700000007095e-05,8.566799999965014e-05,6.6797999999757e-05,6.71900000002168e-05,8.693200000031709e-05,6.790099999953725e-05,6.725099999993489e-05,6.674899999925543e-05,8.678900000003154e-05,6.79989999996522e-05,8.67949999996398e-05,8.84489999997129e-05,6.705200000034495e-05,8.69840000001787e-05,6.652800000050973e-05,8.65030000003486e-05,8.677499999976135e-05,7.887300000053443e-05,6.624900000051781e-05,8.700400000005715e-05,6.724300000016115e-05,6.694300000020803e-05,6.642399999989834e-05,6.780699999975326e-05,6.701300000067079e-05,8.748800000013546e-05,6.689699999995469e-05,6.77419999997042e-05,6.728600000016627e-05,8.692899999918069e-05,8.324099999956758e-05,8.66439999995805e-05,8.687199999979356e-05,6.64540000006042e-05,8.619299999956809e-05,6.71799999993894e-05,6.787500000005053e-05,8.704599999997953e-05,8.640899999967644e-05,8.62829999999093e-05,8.680999999999273e-05,8.733700000007616e-05,8.719599999995609e-05,8.799300000017496e-05,8.675100000044011e-05,6.779799999989677e-05,6.825200000015741e-05
BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,8.954199999955392e-05,8.780599999980154e-05,6.754200000003152e-05,6.862800000018154e-05,6.724999999985215e-05,0.00010602699999928689,8.720499999981257e-05,8.712799999965881e-05,8.754999999993629e-05,6.747900000014795e-05,8.782300000031995e-05,6.769400000017356e-05,6.7550999999888e-05,6.682300000004915e-05,8.106399999974201e-05,8.530800000006167e-05,6.73829999993103e-05,6.799099999987845e-05,6.660900000010628e-05,6.731100000045842e-05,6.678999999998325e-05,6.71639999998419e-05,9.389199999976228e-05,8.720600000078349e-05,8.644299999982508e-05,8.777900000023209e-05,9.52590000000697e-05,8.715299999995096e-05,8.765199999949402e-05,6.761200000049428e-05,8.581700000043213e-05,6.662100000021098e-05,8.756499999940104e-05,8.70589999992788e-05,6.635399999943559e-05,6.645200000043872e-05,8.706599999985798e-05,6.721700000067443e-05,6.61800000001378e-05,6.64629999995725e-05,8.757199999998022e-05,6.781599999960974e-05,8.625400000017436e-05,8.786400000015959e-05,6.627300000072722e-05,9.268000000073329e-05,6.625199999987785e-05,0.00010671099999992606,8.706699999994072e-05,7.97849999996103e-05,6.68080000005844e-05,8.696400000030025e-05,6.704399999968302e-05,6.65010000000521e-05,6.720400000048699e-05,6.688700000001546e-05,6.70339999997438e-05,8.6978999999765e-05,6.708600000049358e-05,6.706200000028417e-05,6.706899999997518e-05,6.725899999970864e-05,6.710700000045478e-05,8.662499999978479e-05,8.712400000021603e-05,9.643700000072641e-05,8.697199999918581e-05,6.781900000074614e-05,6.813799999960679e-05,9.242700000022808e-05,8.60329999996523e-05,8.669600000033029e-05,8.60590000000272e-05,8.744999999965586e-05,8.60920000000931e-05,8.782199999934903e-05,8.682200000009743e-05,6.750799999988288e-05,6.8234999999639e-05
BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,9.067099999970907e-05,8.87299999998703e-05,6.808799999991066e-05,6.73479999999671e-05,6.867300000035215e-05,0.00010347400000032536,9.32789999996686e-05,8.705000000031049e-05,8.687200000068174e-05,6.695300000014726e-05,8.741700000047814e-05,6.818499999994287e-05,6.687800000015898e-05,6.648100000017365e-05,6.763499999973277e-05,6.71469999993235e-05,6.769200000000808e-05,6.79240000005521e-05,6.687499999991076e-05,6.710200000004107e-05,9.032999999991631e-05,9.964200000034396e-05,8.646100000042622e-05,8.697999999984773e-05,8.603300000054048e-05,8.563699999974972e-05,8.669199999999933e-05,8.651300000028783e-05,8.657700000025415e-05,6.781400000033244e-05,8.708799999990191e-05,6.664600000050314e-05,8.788900000045174e-05,8.577300000034427e-05,6.670700000022123e-05,9.497400000046952e-05,8.677499999976135e-05,6.737799999978478e-05,6.679300000023147e-05,6.65790000002886e-05,8.661299999968008e-05,6.744299999983383e-05,8.850000000037994e-05,8.945799999970916e-05,6.703100000038376e-05,6.62650000000653e-05,6.562600000048491e-05,8.658099999969693e-05,8.687500000004178e-05,7.87610000001493e-05,6.670300000077845e-05,9.277100000026905e-05,6.64280000002293e-05,6.6263000000788e-05,6.779899999997951e-05,6.824799999982645e-05,6.648000000009091e-05,8.612500000015899e-05,0.00010127700000062134,6.716800000017287e-05,6.670800000030397e-05,6.647900000000817e-05,6.611500000008874e-05,8.634499999971013e-05,8.616000000039037e-05,8.56859999993631e-05,8.67200000005397e-05,6.705400000051043e-05,6.747200000045694e-05,6.767200000012963e-05,8.64910000002439e-05,8.582500000020588e-05,8.614600000012018e-05,9.575999999977824e-05,8.701799999943916e-05,8.79679999998828e-05,8.640199999998543e-05,9.039900000029633e-05,6.78530000000066e-05
BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,9.145599999982323e-05,8.686899999954534e-05,6.797899999977375e-05,6.696400000016922e-05,6.769700000042178e-05,0.00011218399999979312,8.706599999985798e-05,8.693499999967713e-05,8.628100000063199e-05,6.719900000007328e-05,8.701399999999637e-05,6.735899999998907e-05,6.663599999967573e-05,6.656299999985293e-05,6.689000000026368e-05,6.675099999942091e-05,6.663799999984121e-05,6.766300000027314e-05,6.648200000025639e-05,6.710600000037203e-05,8.574900000013486e-05,8.562899999997597e-05,8.583299999997962e-05,8.593799999978557e-05,8.616399999983315e-05,8.767100000017791e-05,8.616700000008137e-05,8.651699999973061e-05,8.64130000000074e-05,6.76100000003288e-05,8.724599999965221e-05,6.60290000000785e-05,8.723599999971299e-05,8.631100000044967e-05,6.607499999944366e-05,8.672600000014796e-05,9.337899999994903e-05,6.719599999982506e-05,6.603199999943854e-05,6.584600000003604e-05,6.72630000000396e-05,6.69990000004006e-05,8.639400000021169e-05,9.44330000001159e-05,6.600700000003457e-05,6.666600000038159e-05,6.585099999956157e-05,8.572000000039992e-05,8.671199999987778e-05,7.858299999963236e-05,6.689800000003743e-05,6.702000000036179e-05,6.652799999962156e-05,6.64179999994019e-05,6.700500000000886e-05,6.671600000007771e-05,6.709400000026733e-05,8.604299999959153e-05,7.82249999993212e-05,6.611799999944878e-05,6.663799999984121e-05,6.68810000004072e-05,6.711699999950582e-05,8.612199999991077e-05,8.647800000005645e-05,9.363900000014524e-05,8.429299999956896e-05,6.707799999983166e-05,6.735299999949262e-05,6.710200000004107e-05,9.502200000000016e-05,8.60489999991998e-05,8.576699999984783e-05,8.688600000006375e-05,8.647300000053093e-05,8.576900000001331e-05,8.620900000000375e-05,8.791100000049568e-05,6.734000000019336e-05
BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,8.92959999996279e-05,8.764999999932854e-05,6.829400000007979e-05,6.712099999983678e-05,6.744099999966835e-05,9.973399999996246e-05,8.700400000005715e-05,8.751499999970491e-05,8.652600000047528e-05,9.615599999968083e-05,8.68799999995673e-05,8.646700000003449e-05,6.63760000003677e-05,6.675699999991735e-05,6.739900000063415e-05,6.602699999991302e-05,6.701199999969987e-05,6.786999999963683e-05,6.683099999982289e-05,6.668600000026004e-05,8.579100000005724e-05,8.752499999964414e-05,8.671000000060047e-05,8.658699999930519e-05,8.590200000035964e-05,8.654999999979651e-05,8.623800000062687e-05,8.608999999992761e-05,8.670499999929859e-05,6.712899999961053e-05,8.68679999994626e-05,6.625100000068329e-05,8.815400000017348e-05,8.580799999968747e-05,6.67249999999342e-05,8.685700000032881e-05,8.667999999989462e-05,8.743300000002563e-05,6.632000000017513e-05,6.560500000052372e-05,6.620899999987273e-05,6.76049999999151e-05,8.609100000001035e-05,6.651599999951685e-05,6.64059999992972e-05,6.659499999983609e-05,6.60080000001173e-05,9.191400000041483e-05,8.654099999994003e-05,7.886300000059521e-05,6.724899999976941e-05,6.710399999931838e-05,6.666200000005063e-05,6.67649999996911e-05,6.718399999972036e-05,6.709700000051555e-05,6.709299999929641e-05,8.5975999999377e-05,6.685199999978408e-05,6.656500000001841e-05,6.709700000051555e-05,6.700699999928617e-05,6.629900000021394e-05,8.667200000012087e-05,8.662499999978479e-05,8.656299999998396e-05,6.70789999999144e-05,6.772900000040494e-05,6.73410000002761e-05,6.671099999966401e-05,6.685599999922687e-05,8.657300000081136e-05,8.603499999981779e-05,8.733700000007616e-05,8.607000000004916e-05,8.687199999979356e-05,8.668500000030832e-05,8.761899999942813e-05,8.860300000002042e-05
BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,8.877099999970994e-05,8.716100000061289e-05,6.831500000004098e-05,6.790000000034269e-05,6.774900000028339e-05,0.00010151099999955449,8.724300000029217e-05,8.66420000003032e-05,8.603199999956956e-05,8.706899999921802e-05,8.717399999991216e-05,8.776199999971368e-05,7.040499999977357e-05,6.700900000033982e-05,6.640099999977167e-05,6.574399999959013e-05,0.00010230599999960788,6.859199999986743e-05,6.730399999987924e-05,6.647699999984269e-05,8.534699999973583e-05,8.669300000008207e-05,8.600500000000011e-05,9.441400000032019e-05,6.651799999968233e-05,8.664799999991146e-05,8.596500000024321e-05,8.65259999995871e-05,8.719700000003883e-05,6.72750000001443e-05,8.608899999984487e-05,6.56470000004461e-05,8.745199999982134e-05,8.56840000000858e-05,6.604200000026594e-05,8.601100000049655e-05,8.623100000004769e-05,8.718600000001686e-05,6.598600000007337e-05,6.607300000016636e-05,6.643299999975483e-05,6.786100000066853e-05,8.519000000006827e-05,6.600099999953812e-05,9.403200000068779e-05,6.684000000056756e-05,6.622999999983392e-05,6.655799999943923e-05,8.680399999949628e-05,7.848899999984837e-05,6.676600000066202e-05,6.679999999992248e-05,6.675900000008284e-05,6.647100000023443e-05,6.640199999985441e-05,6.683299999998837e-05,0.00010048400000073343,8.687199999979356e-05,6.619599999968528e-05,6.646599999982072e-05,6.609899999965307e-05,6.709999999987559e-05,6.632200000034061e-05,8.639500000029443e-05,8.714599999937178e-05,8.602000000035304e-05,8.722300000041372e-05,6.755400000013623e-05,6.725400000018311e-05,6.678499999956955e-05,6.589100000020665e-05,8.576699999984783e-05,8.559599999991008e-05,8.713099999990703e-05,6.666100000085606e-05,9.398400000026896e-05,8.668499999942014e-05,8.714100000073444e-05,8.769100000005636e-05
BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,8.880000000033306e-05,8.715600000019919e-05,6.885700000047734e-05,0.00010102199999995065,7.472699999944155e-05,8.831300000000653e-05,8.708800000079009e-05,8.749000000030094e-05,8.583900000047606e-05,8.621600000058294e-05,9.528899999988738e-05,8.69440000004218e-05,7.489899999946203e-05,6.805399999976203e-05,6.696700000041744e-05,6.655900000041015e-05,8.750199999951747e-05,6.781200000016696e-05,6.731900000023217e-05,6.687800000015898e-05,8.586100000052e-05,8.712600000038151e-05,8.657299999992318e-05,6.679300000023147e-05,6.661299999954906e-05,8.738400000041224e-05,8.632000000030615e-05,8.603000000029226e-05,8.681300000024095e-05,6.69990000004006e-05,8.612700000032447e-05,7.28169999995032e-05,8.716399999997293e-05,6.68099999998617e-05,6.60080000001173e-05,8.650400000043135e-05,8.579300000022272e-05,8.596300000007773e-05,6.645300000052146e-05,6.641800000029008e-05,6.588599999979294e-05,6.748399999967347e-05,8.522099999996868e-05,6.61520000004856e-05,8.570099999971603e-05,6.651299999926863e-05,6.567099999976733e-05,6.614399999982368e-05,8.653300000016628e-05,7.856199999967117e-05,6.652799999962156e-05,6.738300000019848e-05,6.609999999973581e-05,6.64490000001905e-05,6.708699999968815e-05,6.725100000082307e-05,8.676200000046208e-05,8.653500000033176e-05,6.693000000002058e-05,6.667000000071255e-05,6.656600000010116e-05,9.699399999973934e-05,6.68030000001707e-05,8.665600000057339e-05,8.454600000007417e-05,8.609500000034132e-05,8.713300000007251e-05,6.775700000005713e-05,6.718200000044305e-05,6.612900000035893e-05,6.616199999953665e-05,8.606100000019268e-05,8.667499999948092e-05,8.654200000002277e-05,6.736000000007181e-05,6.719900000007328e-05,7.930500000075114e-05,8.671299999996052e-05,8.692200000037786e-05
