,Nets,Labels
0,Hospital Billing - Event Log.5c0b45c3-1016-4e0f-9e46-fbe709c87fd8.pnml,1
1,Hospital Billing - Event Log.9928d542-86f0-4c4c-a439-166eb968585a.pnml,0
2,Hospital Billing - Event Log.102b82b3-90c3-42df-bffe-7eadaeddd652.pnml,2
3,Hospital Billing - Event Log.ab6a2d58-a8dd-4978-90f8-938877df07cb.pnml,7
4,Hospital Billing - Event Log.6a6d7cec-f2f9-445e-a8e0-5f7e4390bfe9.pnml,5
5,Hospital Billing - Event Log.ffbb90b4-45a4-4763-9d0f-9df027e6d671.pnml,7
6,Hospital Billing - Event Log.7789c266-bad2-41fe-b3bb-c0464283b1ea.pnml,1
7,Hospital Billing - Event Log.bc533143-fc48-41e5-b0c9-ba7a20140c0f.pnml,7
8,Hospital Billing - Event Log.4f68ef07-f20b-4238-b896-9e12a335ba85.pnml,1
9,Hospital Billing - Event Log.6018ee41-294e-4d49-9154-4cbcfd01864f.pnml,9
10,Hospital Billing - Event Log.83bcd0e8-ab9c-4a3a-b90b-384b8203b40a.pnml,1
11,Hospital Billing - Event Log.8074292a-1e4d-4e35-8823-5c230badd039.pnml,0
12,Hospital Billing - Event Log.85eb6970-d025-41a0-a742-a0da6308de4d.pnml,7
13,Hospital Billing - Event Log.5b84f7fe-c08b-4801-94e8-8044ff3ca7a5.pnml,1
14,Hospital Billing - Event Log.e44ba7b9-7724-4ee5-bf66-175bb2a3d7a6.pnml,6
15,Hospital Billing - Event Log.1e115d3d-64f8-4e3d-a420-85186b6e3b8f.pnml,3
16,Hospital Billing - Event Log.46e70d4e-2416-43be-9a92-e4ee46ea445a.pnml,10
17,Hospital Billing - Event Log.c3118d79-9a1b-4f81-a19b-6648e4549ceb.pnml,6
18,Hospital Billing - Event Log.f7906cc1-0332-46b7-b1c0-ba1e171821b4.pnml,3
19,Hospital Billing - Event Log.e4f4b93e-6ecd-46a7-97e4-209e34902fcf.pnml,10
20,Hospital Billing - Event Log.ccc0ba42-a25a-4719-b11b-4ce24a59e58f.pnml,2
21,Hospital Billing - Event Log.27c843f0-a204-4a13-bad8-c52c1b6bedc8.pnml,7
22,Hospital Billing - Event Log.2fe407ed-fb19-4fb0-a2f9-4532a3c7f4c9.pnml,6
23,Hospital Billing - Event Log.3844f9a7-cecd-45d8-a9c5-4bffea107f14.pnml,2
24,Hospital Billing - Event Log.d69bb14a-0c27-456a-ab6c-6b435d86e9d6.pnml,6
25,Hospital Billing - Event Log.a93e1b69-02d2-48e2-a889-490df37f04fa.pnml,0
26,Hospital Billing - Event Log.fa506857-a608-456d-8877-7bc40ff1ffb6.pnml,3
27,Hospital Billing - Event Log.d2e40a48-dfec-4eef-9ff4-64d2a0591596.pnml,2
28,Hospital Billing - Event Log.653cb384-d46b-4b8f-83d6-106479e38ab5.pnml,1
29,Hospital Billing - Event Log.0756d48f-5d89-4791-9e02-509b28e557cb.pnml,5
30,Hospital Billing - Event Log.66452072-7426-4df8-aa9a-cff75d5bc9d0.pnml,0
31,Hospital Billing - Event Log.c3774422-4b21-40ec-a2ff-81961709354c.pnml,4
32,Hospital Billing - Event Log.897509f7-076d-4c8b-af8c-86dfbc799b9b.pnml,1
33,Hospital Billing - Event Log.a507859b-f0b8-423c-b0e2-3d6c63d5f018.pnml,5
34,Hospital Billing - Event Log.0134d6a6-63a0-4719-9c80-aa8bd423faf8.pnml,0
35,Hospital Billing - Event Log.b2684df4-bf1e-46f4-a363-475a25a0462d.pnml,7
36,Hospital Billing - Event Log.23dc8381-f7c3-4753-8292-0664bc000a04.pnml,2
