,File name,Net string,Traces
0,Hospital Billing - Event Log.5c0b45c3-1016-4e0f-9e46-fbe709c87fd8.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'STORNO'), (n6, 'DELETE'), (n7, 'REJECT'), (n8, 'REOPEN'), (n9, 'CODE NOK') ]
arcs: [ (n5, 'STORNO')->n2, (n7, 'REJECT')->n1, (n8, 'REOPEN')->n4, (n9, 'CODE NOK')->n3, n1->(n8, 'REOPEN'), n2->(n7, 'REJECT'), n3->(n7, 'REJECT'), n4->(n6, 'DELETE') ], [], [])","[['STORNO', 'CODE NOK', 'REJECT', 'REOPEN', 'DELETE'], ['CODE NOK', 'STORNO', 'REJECT', 'REOPEN', 'DELETE']]"
1,Hospital Billing - Event Log.9928d542-86f0-4c4c-a439-166eb968585a.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'STORNO'), (n6, 'DELETE'), (n7, 'REOPEN'), (n8, 'REJECT'), (n9, 'CHANGE DIAGN') ]
arcs: [ (n5, 'STORNO')->n2, (n7, 'REOPEN')->n3, (n7, 'REOPEN')->n4, (n8, 'REJECT')->n1, n1->(n7, 'REOPEN'), n2->(n7, 'REOPEN'), n3->(n6, 'DELETE'), n4->(n9, 'CHANGE DIAGN') ], [], [])","[['STORNO', 'REJECT', 'REOPEN', 'CHANGE DIAGN', 'DELETE'], ['REJECT', 'STORNO', 'REOPEN', 'DELETE', 'CHANGE DIAGN'], ['REJECT', 'STORNO', 'REOPEN', 'CHANGE DIAGN', 'DELETE'], ['STORNO', 'REJECT', 'REOPEN', 'DELETE', 'CHANGE DIAGN']]"
2,Hospital Billing - Event Log.102b82b3-90c3-42df-bffe-7eadaeddd652.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'STORNO'), (n5, 'REJECT'), (n6, 'REOPEN'), (n7, 'CHANGE DIAGN') ]
arcs: [ (n4, 'STORNO')->n2, (n4, 'STORNO')->n3, (n5, 'REJECT')->n1, n1->(n6, 'REOPEN'), n2->(n5, 'REJECT'), n3->(n7, 'CHANGE DIAGN') ], [], [])","[['STORNO', 'REJECT', 'REOPEN', 'CHANGE DIAGN'], ['STORNO', 'CHANGE DIAGN', 'REJECT', 'REOPEN'], ['STORNO', 'REJECT', 'CHANGE DIAGN', 'REOPEN']]"
3,Hospital Billing - Event Log.ab6a2d58-a8dd-4978-90f8-938877df07cb.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'STORNO'), (n5, 'DELETE'), (n6, 'REJECT'), (n7, 'REOPEN') ]
arcs: [ (n4, 'STORNO')->n2, (n6, 'REJECT')->n1, (n7, 'REOPEN')->n3, n1->(n7, 'REOPEN'), n2->(n6, 'REJECT'), n3->(n5, 'DELETE') ], [], [])","[['STORNO', 'REJECT', 'REOPEN', 'DELETE']]"
4,Hospital Billing - Event Log.6a6d7cec-f2f9-445e-a8e0-5f7e4390bfe9.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'STORNO'), (n5, 'REJECT'), (n6, 'CODE ERROR'), (n7, 'CHANGE DIAGN') ]
arcs: [ (n6, 'CODE ERROR')->n1, (n7, 'CHANGE DIAGN')->n2, (n7, 'CHANGE DIAGN')->n3, n1->(n5, 'REJECT'), n2->(n6, 'CODE ERROR'), n3->(n4, 'STORNO') ], [], [])","[['CHANGE DIAGN', 'STORNO', 'CODE ERROR', 'REJECT'], ['CHANGE DIAGN', 'CODE ERROR', 'STORNO', 'REJECT'], ['CHANGE DIAGN', 'CODE ERROR', 'REJECT', 'STORNO']]"
5,Hospital Billing - Event Log.ffbb90b4-45a4-4763-9d0f-9df027e6d671.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'STORNO'), (n5, 'DELETE'), (n6, 'REJECT'), (n7, 'REOPEN') ]
arcs: [ (n4, 'STORNO')->n2, (n6, 'REJECT')->n1, (n6, 'REJECT')->n3, n1->(n7, 'REOPEN'), n2->(n6, 'REJECT'), n3->(n5, 'DELETE') ], [], [])","[['STORNO', 'REJECT', 'DELETE', 'REOPEN'], ['STORNO', 'REJECT', 'REOPEN', 'DELETE']]"
6,Hospital Billing - Event Log.7789c266-bad2-41fe-b3bb-c0464283b1ea.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'DELETE'), (n6, 'STORNO'), (n7, 'REJECT'), (n8, 'REOPEN'), (n9, 'CODE NOK') ]
arcs: [ (n6, 'STORNO')->n1, (n7, 'REJECT')->n2, (n8, 'REOPEN')->n4, (n9, 'CODE NOK')->n3, n1->(n8, 'REOPEN'), n2->(n5, 'DELETE'), n3->(n7, 'REJECT'), n4->(n5, 'DELETE') ], [], [])","[['CODE NOK', 'REJECT', 'STORNO', 'REOPEN', 'DELETE'], ['STORNO', 'REOPEN', 'CODE NOK', 'REJECT', 'DELETE'], ['STORNO', 'CODE NOK', 'REOPEN', 'REJECT', 'DELETE'], ['STORNO', 'CODE NOK', 'REJECT', 'REOPEN', 'DELETE'], ['CODE NOK', 'STORNO', 'REOPEN', 'REJECT', 'DELETE'], ['CODE NOK', 'STORNO', 'REJECT', 'REOPEN', 'DELETE']]"
7,Hospital Billing - Event Log.bc533143-fc48-41e5-b0c9-ba7a20140c0f.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'STORNO'), (n6, 'DELETE'), (n7, 'REJECT'), (n8, 'REOPEN') ]
arcs: [ (n5, 'STORNO')->n2, (n7, 'REJECT')->n1, (n7, 'REJECT')->n3, (n8, 'REOPEN')->n4, n1->(n8, 'REOPEN'), n2->(n7, 'REJECT'), n3->(n6, 'DELETE'), n4->(n6, 'DELETE') ], [], [])","[['STORNO', 'REJECT', 'REOPEN', 'DELETE']]"
8,Hospital Billing - Event Log.4f68ef07-f20b-4238-b896-9e12a335ba85.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'STORNO'), (n5, 'REJECT'), (n6, 'REOPEN'), (n7, 'CODE NOK') ]
arcs: [ (n4, 'STORNO')->n2, (n5, 'REJECT')->n1, (n7, 'CODE NOK')->n3, n1->(n6, 'REOPEN'), n2->(n6, 'REOPEN'), n3->(n5, 'REJECT') ], [], [])","[['CODE NOK', 'STORNO', 'REJECT', 'REOPEN'], ['STORNO', 'CODE NOK', 'REJECT', 'REOPEN'], ['CODE NOK', 'REJECT', 'STORNO', 'REOPEN']]"
9,Hospital Billing - Event Log.6018ee41-294e-4d49-9154-4cbcfd01864f.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'DELETE'), (n5, 'REOPEN'), (n6, 'CODE NOK'), (n7, 'CHANGE DIAGN') ]
arcs: [ (n5, 'REOPEN')->n3, (n7, 'CHANGE DIAGN')->n1, (n7, 'CHANGE DIAGN')->n2, n1->(n6, 'CODE NOK'), n2->(n5, 'REOPEN'), n3->(n4, 'DELETE') ], [], [])","[['CHANGE DIAGN', 'REOPEN', 'CODE NOK', 'DELETE'], ['CHANGE DIAGN', 'CODE NOK', 'REOPEN', 'DELETE'], ['CHANGE DIAGN', 'REOPEN', 'DELETE', 'CODE NOK']]"
