,File name,Net string,Traces
0,Road_Traffic_Fine_Management_Process.e4b3a15b-e5b9-48c0-b064-2a95c45af37a.pnml,"(places: [ n1, n2, n3, n4, n5 ]
transitions: [ (n10, 'Insert Fine Notification'), (n6, 'Insert Date Appeal to Prefecture'), (n7, 'Receive Result Appeal from Prefecture'), (n8, 'Notify Result Appeal to Offender'), (n9, 'Send Appeal to Prefecture') ]
arcs: [ (n10, 'Insert Fine Notification')->n1, (n6, 'Insert Date Appeal to Prefecture')->n4, (n6, 'Insert Date Appeal to Prefecture')->n5, (n7, 'Receive Result Appeal from Prefecture')->n3, (n9, 'Send Appeal to Prefecture')->n2, n1->(n6, 'Insert Date Appeal to Prefecture'), n2->(n7, 'Receive Result Appeal from Prefecture'), n3->(n8, 'Notify Result Appeal to Offender'), n4->(n8, 'Notify Result Appeal to Offender'), n5->(n9, 'Send Appeal to Prefecture') ], [], [])","[['Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender']]"
1,Road_Traffic_Fine_Management_Process.5b57eec9-1769-40e8-a3a3-498e72217f76.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'Payment'), (n6, 'Insert Date Appeal to Prefecture'), (n7, 'Receive Result Appeal from Prefecture'), (n8, 'Notify Result Appeal to Offender'), (n9, 'Send Appeal to Prefecture') ]
arcs: [ (n6, 'Insert Date Appeal to Prefecture')->n3, (n7, 'Receive Result Appeal from Prefecture')->n2, (n8, 'Notify Result Appeal to Offender')->n4, (n9, 'Send Appeal to Prefecture')->n1, n1->(n7, 'Receive Result Appeal from Prefecture'), n2->(n8, 'Notify Result Appeal to Offender'), n3->(n9, 'Send Appeal to Prefecture'), n4->(n5, 'Payment') ], [], [])","[['Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment']]"
2,Road_Traffic_Fine_Management_Process.26f68299-ff59-4b64-9108-def7ea69a40d.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'Insert Date Appeal to Prefecture'), (n5, 'Receive Result Appeal from Prefecture'), (n6, 'Notify Result Appeal to Offender'), (n7, 'Insert Fine Notification') ]
arcs: [ (n4, 'Insert Date Appeal to Prefecture')->n3, (n5, 'Receive Result Appeal from Prefecture')->n2, (n7, 'Insert Fine Notification')->n1, n1->(n4, 'Insert Date Appeal to Prefecture'), n2->(n6, 'Notify Result Appeal to Offender'), n3->(n6, 'Notify Result Appeal to Offender') ], [], [])","[['Receive Result Appeal from Prefecture', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender'], ['Insert Fine Notification', 'Receive Result Appeal from Prefecture', 'Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender'], ['Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender']]"
3,Road_Traffic_Fine_Management_Process.a1058878-52e6-448c-a277-4f8f4fa4c525.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'Payment'), (n5, 'Receive Result Appeal from Prefecture'), (n6, 'Notify Result Appeal to Offender'), (n7, 'Send Appeal to Prefecture') ]
arcs: [ (n5, 'Receive Result Appeal from Prefecture')->n2, (n6, 'Notify Result Appeal to Offender')->n3, (n7, 'Send Appeal to Prefecture')->n1, n1->(n5, 'Receive Result Appeal from Prefecture'), n2->(n6, 'Notify Result Appeal to Offender'), n3->(n4, 'Payment') ], [], [])","[['Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment']]"
4,Road_Traffic_Fine_Management_Process.be063851-4f8b-4726-80f0-a210b64fad2a.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'Insert Date Appeal to Prefecture'), (n6, 'Receive Result Appeal from Prefecture'), (n7, 'Send Appeal to Prefecture'), (n8, 'Notify Result Appeal to Offender') ]
arcs: [ (n5, 'Insert Date Appeal to Prefecture')->n3, (n5, 'Insert Date Appeal to Prefecture')->n4, (n6, 'Receive Result Appeal from Prefecture')->n2, (n7, 'Send Appeal to Prefecture')->n1, n1->(n6, 'Receive Result Appeal from Prefecture'), n2->(n8, 'Notify Result Appeal to Offender'), n3->(n7, 'Send Appeal to Prefecture'), n4->(n6, 'Receive Result Appeal from Prefecture') ], [], [])","[['Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender']]"
5,Road_Traffic_Fine_Management_Process.728ee09b-bd3d-4ce3-856c-4635aa34b65c.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'Insert Date Appeal to Prefecture'), (n5, 'Receive Result Appeal from Prefecture'), (n6, 'Send Appeal to Prefecture'), (n7, 'Notify Result Appeal to Offender') ]
arcs: [ (n4, 'Insert Date Appeal to Prefecture')->n2, (n4, 'Insert Date Appeal to Prefecture')->n3, (n5, 'Receive Result Appeal from Prefecture')->n1, n1->(n7, 'Notify Result Appeal to Offender'), n2->(n6, 'Send Appeal to Prefecture'), n3->(n5, 'Receive Result Appeal from Prefecture') ], [], [])","[['Insert Date Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture'], ['Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender'], ['Insert Date Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Send Appeal to Prefecture', 'Notify Result Appeal to Offender']]"
6,Road_Traffic_Fine_Management_Process.0bafe0da-117b-4f01-abf8-d49e8e991b65.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'Payment'), (n5, 'Insert Date Appeal to Prefecture'), (n6, 'Receive Result Appeal from Prefecture'), (n7, 'Send Appeal to Prefecture') ]
arcs: [ (n5, 'Insert Date Appeal to Prefecture')->n1, (n6, 'Receive Result Appeal from Prefecture')->n3, (n7, 'Send Appeal to Prefecture')->n2, n1->(n4, 'Payment'), n2->(n6, 'Receive Result Appeal from Prefecture'), n3->(n4, 'Payment') ], [], [])","[['Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Payment'], ['Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Insert Date Appeal to Prefecture', 'Payment'], ['Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Payment']]"
7,Road_Traffic_Fine_Management_Process.c954d426-d556-4cc0-8894-98e5aeecd873.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'Receive Result Appeal from Prefecture'), (n5, 'Notify Result Appeal to Offender'), (n6, 'Send Appeal to Prefecture'), (n7, 'Send for Credit Collection') ]
arcs: [ (n4, 'Receive Result Appeal from Prefecture')->n2, (n5, 'Notify Result Appeal to Offender')->n3, (n6, 'Send Appeal to Prefecture')->n1, n1->(n7, 'Send for Credit Collection'), n2->(n5, 'Notify Result Appeal to Offender'), n3->(n7, 'Send for Credit Collection') ], [], [])","[['Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection'], ['Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Send for Credit Collection'], ['Receive Result Appeal from Prefecture', 'Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection']]"
8,Road_Traffic_Fine_Management_Process.03d8bf4a-c5da-463a-a4fd-1d3cea52e723.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'Payment'), (n5, 'Insert Date Appeal to Prefecture'), (n6, 'Receive Result Appeal from Prefecture'), (n7, 'Notify Result Appeal to Offender') ]
arcs: [ (n5, 'Insert Date Appeal to Prefecture')->n2, (n6, 'Receive Result Appeal from Prefecture')->n1, (n7, 'Notify Result Appeal to Offender')->n3, n1->(n7, 'Notify Result Appeal to Offender'), n2->(n6, 'Receive Result Appeal from Prefecture'), n3->(n4, 'Payment') ], [], [])","[['Insert Date Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment']]"
9,Road_Traffic_Fine_Management_Process.9619f19d-56b0-4a31-a99e-199585e800e2.pnml,"(places: [ n1, n2, n3, n4, n5 ]
transitions: [ (n10, 'Send Appeal to Prefecture'), (n6, 'Payment'), (n7, 'Insert Date Appeal to Prefecture'), (n8, 'Receive Result Appeal from Prefecture'), (n9, 'Notify Result Appeal to Offender') ]
arcs: [ (n10, 'Send Appeal to Prefecture')->n1, (n7, 'Insert Date Appeal to Prefecture')->n3, (n7, 'Insert Date Appeal to Prefecture')->n4, (n8, 'Receive Result Appeal from Prefecture')->n2, (n9, 'Notify Result Appeal to Offender')->n5, n1->(n8, 'Receive Result Appeal from Prefecture'), n2->(n9, 'Notify Result Appeal to Offender'), n3->(n9, 'Notify Result Appeal to Offender'), n4->(n10, 'Send Appeal to Prefecture'), n5->(n6, 'Payment') ], [], [])","[['Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment']]"
10,Road_Traffic_Fine_Management_Process.c3d0b4f0-505f-490d-8279-8e9cb1c953da.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'Payment'), (n6, 'Insert Date Appeal to Prefecture'), (n7, 'Receive Result Appeal from Prefecture'), (n8, 'Send Appeal to Prefecture') ]
arcs: [ (n6, 'Insert Date Appeal to Prefecture')->n3, (n6, 'Insert Date Appeal to Prefecture')->n4, (n7, 'Receive Result Appeal from Prefecture')->n2, (n8, 'Send Appeal to Prefecture')->n1, n1->(n5, 'Payment'), n2->(n5, 'Payment'), n3->(n8, 'Send Appeal to Prefecture'), n4->(n7, 'Receive Result Appeal from Prefecture') ], [], [])","[['Insert Date Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Send Appeal to Prefecture', 'Payment'], ['Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Payment']]"
11,Road_Traffic_Fine_Management_Process.d8c9fea9-5fe5-4ed9-83c0-263497d444c6.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'Receive Result Appeal from Prefecture'), (n5, 'Notify Result Appeal to Offender'), (n6, 'Send Appeal to Prefecture'), (n7, 'Send for Credit Collection') ]
arcs: [ (n4, 'Receive Result Appeal from Prefecture')->n1, (n5, 'Notify Result Appeal to Offender')->n3, (n6, 'Send Appeal to Prefecture')->n2, n1->(n7, 'Send for Credit Collection'), n2->(n4, 'Receive Result Appeal from Prefecture'), n3->(n7, 'Send for Credit Collection') ], [], [])","[['Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Send for Credit Collection'], ['Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection'], ['Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Send for Credit Collection']]"
