,Nets,Labels
0,artificialBig.05baf5bf-2d9b-422b-9505-476b35201ef9.pnml,7
1,artificialBig.256f5479-0ce9-4ef3-b267-6b3f2def79b7.pnml,1
2,artificialBig.32df24a5-b1f1-426e-b769-9e84d2d6b358.pnml,10
3,artificialBig.4ff31820-5ec0-4674-bc85-c2f28a76cd1d.pnml,9
4,artificialBig.7eb5326e-71b6-4acc-bf1b-5120994b58c1.pnml,8
5,artificialBig.8f691c71-7279-41bf-8823-0d7c230a3440.pnml,2
6,artificialBig.906fcd31-8e90-4bf8-874a-b657311fad30.pnml,0
7,artificialBig.9afddb73-e401-4699-8055-074efedde771.pnml,1
8,artificialBig.9bbc00ed-7a73-4ebc-9d60-4c91760653c3.pnml,3
9,artificialBig.a55a565f-0715-4f47-999a-2d00a746e29b.pnml,2
10,artificialBig.c9a4c2d6-9d7c-4351-8266-aaa03f8f38e2.pnml,6
11,artificialBig.ca5a762c-2c82-4179-af80-a33487b02d2f.pnml,5
12,artificialBig.daeb0724-b6b2-4f57-9160-d981590fced4.pnml,0
13,artificialBig.de5ac652-8d1f-49be-96bc-2e35e9e3b45e.pnml,4
14,artificialBig.e9938a54-9e94-4210-b300-b9836bfe880c.pnml,1
