,artificialBig.05baf5bf-2d9b-422b-9505-476b35201ef9.pnml,artificialBig.256f5479-0ce9-4ef3-b267-6b3f2def79b7.pnml,artificialBig.32df24a5-b1f1-426e-b769-9e84d2d6b358.pnml,artificialBig.4ff31820-5ec0-4674-bc85-c2f28a76cd1d.pnml,artificialBig.7eb5326e-71b6-4acc-bf1b-5120994b58c1.pnml,artificialBig.8f691c71-7279-41bf-8823-0d7c230a3440.pnml,artificialBig.906fcd31-8e90-4bf8-874a-b657311fad30.pnml,artificialBig.9afddb73-e401-4699-8055-074efedde771.pnml,artificialBig.9bbc00ed-7a73-4ebc-9d60-4c91760653c3.pnml,artificialBig.a55a565f-0715-4f47-999a-2d00a746e29b.pnml,artificialBig.c9a4c2d6-9d7c-4351-8266-aaa03f8f38e2.pnml,artificialBig.ca5a762c-2c82-4179-af80-a33487b02d2f.pnml,artificialBig.daeb0724-b6b2-4f57-9160-d981590fced4.pnml,artificialBig.de5ac652-8d1f-49be-96bc-2e35e9e3b45e.pnml,artificialBig.e9938a54-9e94-4210-b300-b9836bfe880c.pnml
artificialBig.05baf5bf-2d9b-422b-9505-476b35201ef9.pnml,0.0,0.1333333333333333,0.0714285714285714,0.1428571428571429,0.1428571428571429,0.3571428571428571,0.5714285714285714,0.1333333333333333,0.2142857142857143,0.1428571428571429,0.1428571428571429,0.0714285714285714,0.7857142857142857,0.1428571428571429,0.19999999999999996
artificialBig.256f5479-0ce9-4ef3-b267-6b3f2def79b7.pnml,0.1333333333333333,0.0,0.06666666666666665,0.1333333333333333,0.06666666666666665,0.2666666666666667,0.6,0.125,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.06666666666666665,0.7333333333333334,0.1333333333333333,0.0625
artificialBig.32df24a5-b1f1-426e-b769-9e84d2d6b358.pnml,0.0714285714285714,0.06666666666666665,0.0,0.0714285714285714,0.0714285714285714,0.2857142857142857,0.5714285714285714,0.06666666666666665,0.1428571428571429,0.0714285714285714,0.1428571428571429,0.0714285714285714,0.7857142857142857,0.0714285714285714,0.1333333333333333
artificialBig.4ff31820-5ec0-4674-bc85-c2f28a76cd1d.pnml,0.1428571428571429,0.1333333333333333,0.0714285714285714,0.0,0.1428571428571429,0.3571428571428571,0.5714285714285714,0.06666666666666665,0.1428571428571429,0.1428571428571429,0.0714285714285714,0.1428571428571429,0.7857142857142857,0.1428571428571429,0.06666666666666665
artificialBig.7eb5326e-71b6-4acc-bf1b-5120994b58c1.pnml,0.1428571428571429,0.06666666666666665,0.0714285714285714,0.1428571428571429,0.0,0.3571428571428571,0.5714285714285714,0.1333333333333333,0.0714285714285714,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.7142857142857143,0.1428571428571429,0.06666666666666665
artificialBig.8f691c71-7279-41bf-8823-0d7c230a3440.pnml,0.3571428571428571,0.2666666666666667,0.2857142857142857,0.3571428571428571,0.3571428571428571,0.0,0.7142857142857143,0.33333333333333337,0.2857142857142857,0.2142857142857143,0.4285714285714286,0.3571428571428571,0.5,0.2857142857142857,0.33333333333333337
artificialBig.906fcd31-8e90-4bf8-874a-b657311fad30.pnml,0.5714285714285714,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.0,0.6,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.2142857142857143,0.5714285714285714,0.6
artificialBig.9afddb73-e401-4699-8055-074efedde771.pnml,0.1333333333333333,0.125,0.06666666666666665,0.06666666666666665,0.1333333333333333,0.33333333333333337,0.6,0.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.8,0.06666666666666665,0.0625
artificialBig.9bbc00ed-7a73-4ebc-9d60-4c91760653c3.pnml,0.2142857142857143,0.1333333333333333,0.1428571428571429,0.1428571428571429,0.0714285714285714,0.2857142857142857,0.5714285714285714,0.1333333333333333,0.0,0.1428571428571429,0.1428571428571429,0.2142857142857143,0.7142857142857143,0.0714285714285714,0.06666666666666665
artificialBig.a55a565f-0715-4f47-999a-2d00a746e29b.pnml,0.1428571428571429,0.1333333333333333,0.0714285714285714,0.1428571428571429,0.1428571428571429,0.2142857142857143,0.5,0.1333333333333333,0.1428571428571429,0.0,0.2142857142857143,0.1428571428571429,0.7142857142857143,0.0714285714285714,0.19999999999999996
