,Nets,Labels
0,BPI Challenge 2017 - Offer log.2e264e72-65e9-4a4b-aacd-2cd500dc2fa5.pnml,0
1,BPI Challenge 2017 - Offer log.b69041e1-3c3e-4ee0-a20e-2a21b40f1914.pnml,0
2,BPI Challenge 2017 - Offer log.d2b9b3b4-3061-47f3-be34-17d01b5495b8.pnml,0
3,BPI Challenge 2017 - Offer log.82ade934-e5b9-45ce-bef8-1e3700dc8676.pnml,0
4,BPI Challenge 2017 - Offer log.26410e2f-e33d-4f15-b688-9e4816eaef5a.pnml,1
5,BPI Challenge 2017 - Offer log.b881d7b0-29f4-4ccf-a5f1-dfd0841e2fc0.pnml,0
6,BPI Challenge 2017 - Offer log.363d5ce8-cf50-4920-aaf1-c5cbfe94e774.pnml,0
7,BPI Challenge 2017 - Offer log.d38a23d1-849e-4621-9e20-374147386932.pnml,0
8,BPI Challenge 2017 - Offer log.b1af9e70-3272-4bd1-86a2-8571d9542871.pnml,0
9,BPI Challenge 2017 - Offer log.de2f3f7d-de9a-4315-94f3-b2837d2c60df.pnml,0
10,BPI Challenge 2017 - Offer log.3c678482-c861-4e6e-bd50-5c4bc7161b30.pnml,0
11,BPI Challenge 2017 - Offer log.4fdfad6b-461a-4126-b10f-02824a424409.pnml,0
12,BPI Challenge 2017 - Offer log.f64e042d-a929-4b05-bdb0-0f1274f9cd5b.pnml,1
13,BPI Challenge 2017 - Offer log.0f65fe3d-7b2b-4f69-b9dc-7d816989468f.pnml,0
14,BPI Challenge 2017 - Offer log.59d4f9c1-e694-418d-9861-dd92bffa4f26.pnml,0
15,BPI Challenge 2017 - Offer log.dc1d2f5e-ff2a-49a7-8b96-2bb238a26133.pnml,0
16,BPI Challenge 2017 - Offer log.a6574f8f-cdb6-4142-b8c1-6ad5cf07ab9c.pnml,0
17,BPI Challenge 2017 - Offer log.37bf01c3-bfbc-4496-b091-a1e23b2b5858.pnml,0
18,BPI Challenge 2017 - Offer log.1e6d9b51-6d8c-4468-b3dd-fd802347a7bd.pnml,1
19,BPI Challenge 2017 - Offer log.aef385d2-6f8b-4636-ae12-f8e7961de6d5.pnml,1
20,BPI Challenge 2017 - Offer log.da20f476-1bfe-4f83-8843-55719a336372.pnml,1
21,BPI Challenge 2017 - Offer log.8ed40b76-9328-4036-8606-8805922a67be.pnml,0
22,BPI Challenge 2017 - Offer log.526800a6-639f-48e0-96e1-1db937cf30d0.pnml,0
23,BPI Challenge 2017 - Offer log.cc92c24a-6fde-4d79-90cf-23f6dd8a2831.pnml,1
24,BPI Challenge 2017 - Offer log.f248b287-ae59-4973-8251-0e05b14dc9a2.pnml,1
25,BPI Challenge 2017 - Offer log.c79c9371-478b-4d3c-95c0-dbc8cc127f43.pnml,0
26,BPI Challenge 2017 - Offer log.4f4116af-0083-49da-ace4-f52ea90617bf.pnml,0
27,BPI Challenge 2017 - Offer log.a54028c7-146e-4818-a345-5124d70451ef.pnml,1
28,BPI Challenge 2017 - Offer log.e3cbb1e5-c367-4dfd-8793-694ea9c632ba.pnml,0
29,BPI Challenge 2017 - Offer log.87b56821-36d5-4cbe-b13c-862b33424ec6.pnml,0
30,BPI Challenge 2017 - Offer log.9029cdca-c312-4b0e-be5d-f852219b13fd.pnml,0
31,BPI Challenge 2017 - Offer log.bae4475d-f323-448c-97f4-8a12b913a42f.pnml,0
32,BPI Challenge 2017 - Offer log.26a0cd62-c99c-43fc-9de0-eb4036eadb9b.pnml,0
33,BPI Challenge 2017 - Offer log.91b908b3-7d52-4b93-831e-2e9ec78ec473.pnml,1
34,BPI Challenge 2017 - Offer log.5e9fb4b5-a5a1-4fdd-988f-f67cbecee262.pnml,1
35,BPI Challenge 2017 - Offer log.99d69eee-2353-4b41-b726-1a204b9cea90.pnml,1
36,BPI Challenge 2017 - Offer log.7a7312ae-aa88-42a7-8363-1beed09d730f.pnml,0
37,BPI Challenge 2017 - Offer log.22aeaa60-455d-4dd7-9971-385572e217b3.pnml,0
38,BPI Challenge 2017 - Offer log.97d8e8cd-4634-440d-8c9f-b2474489bae4.pnml,0
39,BPI Challenge 2017 - Offer log.199266dc-2604-4e01-99ad-5606c28424ac.pnml,0
40,BPI Challenge 2017 - Offer log.0f7f22c1-d9e6-4caa-895b-087ffaabc25c.pnml,0
41,BPI Challenge 2017 - Offer log.b2e0d1c8-e195-4c8a-8a42-97acba3f7d4e.pnml,0
42,BPI Challenge 2017 - Offer log.921ddd40-6060-4090-bc85-6c507fdb1e18.pnml,0
43,BPI Challenge 2017 - Offer log.9f799751-2e82-4218-b208-78ceeebf4435.pnml,0
44,BPI Challenge 2017 - Offer log.6e896e45-73ba-4922-a81a-ca99a7c66632.pnml,0
45,BPI Challenge 2017 - Offer log.6b96e1be-8ee8-4db6-a8b1-fbfe30ad3153.pnml,0
46,BPI Challenge 2017 - Offer log.4800ffcf-d746-476e-ad25-66fbf7b17fa5.pnml,0
47,BPI Challenge 2017 - Offer log.908eda3f-3a82-40cc-92a7-f5e5d75acdb9.pnml,0
48,BPI Challenge 2017 - Offer log.4379fc86-9760-49a4-8b1e-888473227f32.pnml,0
49,BPI Challenge 2017 - Offer log.bf3c33d8-5dab-48b7-b833-dbff1f2ca646.pnml,0
50,BPI Challenge 2017 - Offer log.03df351f-d800-4e21-9213-89108aae3f9e.pnml,0
51,BPI Challenge 2017 - Offer log.93a214a2-dae7-494f-bf32-c918494fb7b1.pnml,1
52,BPI Challenge 2017 - Offer log.7db4ff5c-8573-4f92-8555-73261f41bd2f.pnml,1
53,BPI Challenge 2017 - Offer log.03a6e233-3415-4ca7-8e73-fbc15fae5181.pnml,1
54,BPI Challenge 2017 - Offer log.eeddd675-07c1-4b78-9046-0d7835aec3a1.pnml,0
55,BPI Challenge 2017 - Offer log.4d6bbb20-cbf3-498d-95b8-fb5440af132d.pnml,7
56,BPI Challenge 2017 - Offer log.f622f471-f3f9-4857-986b-1aa6fcd2c05d.pnml,0
57,BPI Challenge 2017 - Offer log.74b9a157-5956-4dfc-9a28-700ba6bff55e.pnml,0
58,BPI Challenge 2017 - Offer log.56f2b579-9b9b-4f56-8b86-aef9a4ca5db4.pnml,0
59,BPI Challenge 2017 - Offer log.a2e97ef4-76a1-46f8-a079-d787b984cce3.pnml,1
60,BPI Challenge 2017 - Offer log.047996fe-0583-4ef4-b31a-c0aa7475e5c6.pnml,0
61,BPI Challenge 2017 - Offer log.c416115a-08de-4f78-bf0e-8e87d841715f.pnml,0
62,BPI Challenge 2017 - Offer log.9ec14d97-7c4b-47bb-86dd-a413859518d3.pnml,0
63,BPI Challenge 2017 - Offer log.630b1142-141f-4d97-8f98-e3b08041ebdd.pnml,0
64,BPI Challenge 2017 - Offer log.21df0e72-3e79-4587-a954-5f8f046a4dd1.pnml,0
65,BPI Challenge 2017 - Offer log.1cdf243c-82ab-454b-a759-94b05adba9a7.pnml,0
66,BPI Challenge 2017 - Offer log.69f2951b-e35b-4433-a83c-bc0e8e693fed.pnml,0
67,BPI Challenge 2017 - Offer log.7c700df1-d240-467a-acf2-2a9394aa68bd.pnml,0
68,BPI Challenge 2017 - Offer log.22c51653-d1a7-4c3f-a1e5-4f0c3150f82c.pnml,0
69,BPI Challenge 2017 - Offer log.1cf85fda-e59a-463e-8766-9b68dbe861b0.pnml,1
70,BPI Challenge 2017 - Offer log.f6f78cdb-8e53-46cd-8d52-8f87b158e11e.pnml,0
71,BPI Challenge 2017 - Offer log.4de2be07-df75-4181-b80b-9fbea824ba63.pnml,0
72,BPI Challenge 2017 - Offer log.4cbbc0fb-3c98-4929-b274-30b7b0c0e962.pnml,0
73,BPI Challenge 2017 - Offer log.bed531a6-ed46-4253-8a6d-c34134003cd3.pnml,1
74,BPI Challenge 2017 - Offer log.18b8aa8b-4ff7-4352-aad7-1d3906093feb.pnml,1
75,BPI Challenge 2017 - Offer log.2a4221da-9a8d-4e84-9c7d-e3e02e39d83e.pnml,0
76,BPI Challenge 2017 - Offer log.6fc64681-6ae0-4002-b53c-99550929e00a.pnml,0
77,BPI Challenge 2017 - Offer log.689f3f0e-ed0b-45cb-a4b8-df9e629e8eae.pnml,1
78,BPI Challenge 2017 - Offer log.0ebba37c-e5a9-467f-aea2-46a603940e88.pnml,1
79,BPI Challenge 2017 - Offer log.368dd932-7ade-4f71-abe4-59d4ca201350.pnml,0
80,BPI Challenge 2017 - Offer log.c202120c-921a-4af3-b1cb-f09fe5bce5c9.pnml,3
81,BPI Challenge 2017 - Offer log.6402cd75-2cc3-4303-a3d2-63505c615192.pnml,0
82,BPI Challenge 2017 - Offer log.c2b44cc7-6199-4fca-b64a-08d15d95d4e2.pnml,0
83,BPI Challenge 2017 - Offer log.e95feb50-15c9-4dcf-a288-624f14640166.pnml,0
84,BPI Challenge 2017 - Offer log.856b7fe7-6cc9-469b-9913-e2873c96daec.pnml,1
85,BPI Challenge 2017 - Offer log.f18180dc-3289-4746-a246-ae5bef4c1c9d.pnml,0
86,BPI Challenge 2017 - Offer log.0696fd98-9a84-42c1-8179-ac3ef3e99aca.pnml,0
87,BPI Challenge 2017 - Offer log.934f81f8-d084-43dc-832f-35e19904b080.pnml,1
88,BPI Challenge 2017 - Offer log.fe05cd91-e49a-4f66-aa1e-6e5c2b301678.pnml,1
89,BPI Challenge 2017 - Offer log.a0cb2a2f-90f9-4228-b496-3c0c827ca16e.pnml,0
90,BPI Challenge 2017 - Offer log.a3e2f3c9-3fb7-4ccf-9bdc-91f35ee0eae7.pnml,0
91,BPI Challenge 2017 - Offer log.687c6868-fcdc-4cea-b5a8-c347627ef459.pnml,0
92,BPI Challenge 2017 - Offer log.dbce4106-441f-477c-bd34-ba0658a8cbc5.pnml,0
93,BPI Challenge 2017 - Offer log.69176a42-f0f3-4ee5-bd2d-776a13084502.pnml,0
94,BPI Challenge 2017 - Offer log.c3dfa167-95c3-4469-bf58-ac90bb3dfdbb.pnml,3
95,BPI Challenge 2017 - Offer log.65d7bcf3-8fce-4693-a5fa-fcfc00fd0340.pnml,1
96,BPI Challenge 2017 - Offer log.040107f0-84e1-4be1-82c5-f9359f34d50f.pnml,0
97,BPI Challenge 2017 - Offer log.0a953e66-ea04-426b-9733-7b0255a4864c.pnml,1
98,BPI Challenge 2017 - Offer log.3bd6890a-2697-46c1-bb52-9b956c401d38.pnml,1
99,BPI Challenge 2017 - Offer log.3784835d-5b49-4edb-97e8-9731fcfc76a5.pnml,1
100,BPI Challenge 2017 - Offer log.74b322c4-f5a6-43ed-b08d-f9c3abc1ccd3.pnml,0
101,BPI Challenge 2017 - Offer log.8008c4ef-0686-4269-9ec8-c4069af645dc.pnml,0
102,BPI Challenge 2017 - Offer log.5c60a33b-4c38-4857-83e4-9ba2fa17b1a6.pnml,0
103,BPI Challenge 2017 - Offer log.a69f5f78-03c4-4c05-bbae-a34eb4f411fd.pnml,0
104,BPI Challenge 2017 - Offer log.32b1b9cd-509a-494a-9723-14a600273762.pnml,1
105,BPI Challenge 2017 - Offer log.86a29047-f86e-4deb-be8a-b30ff31a262b.pnml,1
106,BPI Challenge 2017 - Offer log.b84adf60-d657-47ad-931d-4ff0b40dd9c5.pnml,0
107,BPI Challenge 2017 - Offer log.14df6996-32b8-4c4a-b9c5-fcfe3b74a8a7.pnml,0
108,BPI Challenge 2017 - Offer log.91c38c22-ad42-4fce-965f-e7c54a5c9782.pnml,1
109,BPI Challenge 2017 - Offer log.19623efd-efe5-4ecb-b3af-f8422702a7c4.pnml,0
110,BPI Challenge 2017 - Offer log.c73da32b-6a60-4414-b4d3-102b162957df.pnml,0
111,BPI Challenge 2017 - Offer log.c67b79ff-03d5-45c7-b15d-d06b32c44370.pnml,1
112,BPI Challenge 2017 - Offer log.efe5c2fe-4589-4763-99d4-fffe01089ded.pnml,0
113,BPI Challenge 2017 - Offer log.71fa1af5-bb08-46b2-89f7-0a215ccc5f93.pnml,0
114,BPI Challenge 2017 - Offer log.b0b2f8c4-6979-48ef-af02-9fc7fa38ea46.pnml,0
115,BPI Challenge 2017 - Offer log.8640d028-7ff1-4f0b-a357-719ba0a45f98.pnml,1
116,BPI Challenge 2017 - Offer log.0922f671-2d38-4f0d-81d6-da3e6f27ce54.pnml,0
117,BPI Challenge 2017 - Offer log.2085f070-c936-4062-b3d9-c018756cb631.pnml,0
118,BPI Challenge 2017 - Offer log.3ccd4301-7f2a-47bc-acc3-4a28c88d0364.pnml,0
119,BPI Challenge 2017 - Offer log.d3e5dc11-235b-416b-a1c9-65a5e472c0db.pnml,0
120,BPI Challenge 2017 - Offer log.22bd69db-fc6a-4633-908b-f7bc831a5094.pnml,1
121,BPI Challenge 2017 - Offer log.d79c7a9f-b04e-4f3b-b68d-a5a858d1e960.pnml,0
122,BPI Challenge 2017 - Offer log.5853889d-a05c-40fd-9862-b6c9b2cd604d.pnml,0
123,BPI Challenge 2017 - Offer log.3761aca4-e007-42a5-9ee0-532f8f45d9ad.pnml,1
124,BPI Challenge 2017 - Offer log.0166ee5f-ca58-4aab-ae01-af74b893e726.pnml,1
125,BPI Challenge 2017 - Offer log.538231dc-65d2-4fe1-b982-3ca20205505c.pnml,1
126,BPI Challenge 2017 - Offer log.d3fdc3a0-eeb1-4250-bc8d-e467c3f29d04.pnml,1
127,BPI Challenge 2017 - Offer log.09a368a1-b1ae-4544-a346-36c07ad700e7.pnml,0
128,BPI Challenge 2017 - Offer log.f9b82346-36e6-4fa3-9cb5-1301ad734d94.pnml,1
129,BPI Challenge 2017 - Offer log.9996eea1-c857-46b7-8a36-eaff5cdc58b1.pnml,1
130,BPI Challenge 2017 - Offer log.06c83f6d-f878-49e7-9177-42de63aeca67.pnml,0
131,BPI Challenge 2017 - Offer log.7b84ad8f-1921-46d7-8828-74f47a7d7ba9.pnml,0
132,BPI Challenge 2017 - Offer log.95586373-5f20-44be-8094-5f1cb5ce7a44.pnml,0
133,BPI Challenge 2017 - Offer log.9605f499-d392-47b1-b644-23945411ed5e.pnml,1
134,BPI Challenge 2017 - Offer log.19618306-28b2-421d-b6e9-236f65cf787a.pnml,0
135,BPI Challenge 2017 - Offer log.69ac8fcb-87b8-404f-b66a-2de734155e76.pnml,6
136,BPI Challenge 2017 - Offer log.defb6735-d1d7-4441-9d4a-d323be54e00a.pnml,0
137,BPI Challenge 2017 - Offer log.9a11c787-f16e-49ec-99c5-38e5b921648c.pnml,1
138,BPI Challenge 2017 - Offer log.ae9242c5-402c-45c3-92f2-95be5529315a.pnml,0
139,BPI Challenge 2017 - Offer log.e6eeba8a-009a-48af-adc2-badaf0c1111c.pnml,1
140,BPI Challenge 2017 - Offer log.71e5ee41-7ceb-4923-80ba-f3ce8ce2e439.pnml,0
141,BPI Challenge 2017 - Offer log.31e8ec1b-ceed-4694-8ff9-12ce8f084d0f.pnml,0
142,BPI Challenge 2017 - Offer log.d2edac7d-8e0b-471b-8edd-a651cc67f2bf.pnml,1
143,BPI Challenge 2017 - Offer log.6e88812b-801e-4af4-b02d-579eec8ab58a.pnml,0
144,BPI Challenge 2017 - Offer log.310b51d8-982f-4630-b8fd-abf3eb6a79bc.pnml,0
145,BPI Challenge 2017 - Offer log.e1a34ad1-bfb2-456e-9fb0-832a94a9f7f3.pnml,0
146,BPI Challenge 2017 - Offer log.b3eaf391-8d0e-41c0-bf89-7bd2fc63faaa.pnml,1
