,File name,Net string,Traces
0,BPI Challenge 2017 - Offer log.2e264e72-65e9-4a4b-aacd-2cd500dc2fa5.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Sent (online only)'), (n5, 'O_Returned'), (n6, 'O_Refused'), (n7, 'O_Created') ]
arcs: [ (n4, 'O_Sent (online only)')->n1, (n5, 'O_Returned')->n2, (n7, 'O_Created')->n3, n1->(n5, 'O_Returned'), n2->(n6, 'O_Refused'), n3->(n6, 'O_Refused') ], [], [])","[['O_Sent (online only)', 'O_Created', 'O_Returned', 'O_Refused'], ['O_Created', 'O_Sent (online only)', 'O_Returned', 'O_Refused'], ['O_Sent (online only)', 'O_Returned', 'O_Created', 'O_Refused']]"
1,BPI Challenge 2017 - Offer log.b69041e1-3c3e-4ee0-a20e-2a21b40f1914.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Create Offer'), (n8, 'O_Created'), (n9, 'O_Cancelled') ]
arcs: [ (n5, 'O_Returned')->n4, (n6, 'O_Sent (mail and online)')->n2, (n7, 'O_Create Offer')->n3, (n8, 'O_Created')->n1, n1->(n6, 'O_Sent (mail and online)'), n2->(n5, 'O_Returned'), n3->(n9, 'O_Cancelled'), n4->(n9, 'O_Cancelled') ], [], [])","[['O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Create Offer', 'O_Cancelled'], ['O_Created', 'O_Sent (mail and online)', 'O_Create Offer', 'O_Returned', 'O_Cancelled'], ['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Cancelled'], ['O_Created', 'O_Create Offer', 'O_Sent (mail and online)', 'O_Returned', 'O_Cancelled']]"
2,BPI Challenge 2017 - Offer log.d2b9b3b4-3061-47f3-be34-17d01b5495b8.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Create Offer'), (n8, 'O_Created'), (n9, 'O_Cancelled') ]
arcs: [ (n6, 'O_Sent (mail and online)')->n2, (n6, 'O_Sent (mail and online)')->n3, (n7, 'O_Create Offer')->n4, (n8, 'O_Created')->n1, n1->(n6, 'O_Sent (mail and online)'), n2->(n5, 'O_Returned'), n3->(n9, 'O_Cancelled'), n4->(n8, 'O_Created') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Cancelled'], ['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Cancelled', 'O_Returned']]"
3,BPI Challenge 2017 - Offer log.82ade934-e5b9-45ce-bef8-1e3700dc8676.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Sent (online only)'), (n5, 'O_Returned'), (n6, 'O_Create Offer'), (n7, 'O_Accepted') ]
arcs: [ (n4, 'O_Sent (online only)')->n1, (n6, 'O_Create Offer')->n2, (n6, 'O_Create Offer')->n3, n1->(n7, 'O_Accepted'), n2->(n5, 'O_Returned'), n3->(n4, 'O_Sent (online only)') ], [], [])","[['O_Create Offer', 'O_Sent (online only)', 'O_Accepted', 'O_Returned'], ['O_Create Offer', 'O_Returned', 'O_Sent (online only)', 'O_Accepted'], ['O_Create Offer', 'O_Sent (online only)', 'O_Returned', 'O_Accepted']]"
4,BPI Challenge 2017 - Offer log.26410e2f-e33d-4f15-b688-9e4816eaef5a.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Sent (mail and online)'), (n6, 'O_Create Offer'), (n7, 'O_Created'), (n8, 'O_Accepted') ]
arcs: [ (n5, 'O_Sent (mail and online)')->n3, (n6, 'O_Create Offer')->n4, (n7, 'O_Created')->n1, (n7, 'O_Created')->n2, n1->(n5, 'O_Sent (mail and online)'), n2->(n8, 'O_Accepted'), n3->(n8, 'O_Accepted'), n4->(n7, 'O_Created') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Accepted']]"
5,BPI Challenge 2017 - Offer log.b881d7b0-29f4-4ccf-a5f1-dfd0841e2fc0.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Create Offer'), (n8, 'O_Refused'), (n9, 'O_Created') ]
arcs: [ (n6, 'O_Sent (mail and online)')->n2, (n7, 'O_Create Offer')->n3, (n7, 'O_Create Offer')->n4, (n9, 'O_Created')->n1, n1->(n6, 'O_Sent (mail and online)'), n2->(n5, 'O_Returned'), n3->(n8, 'O_Refused'), n4->(n9, 'O_Created') ], [], [])","[['O_Create Offer', 'O_Refused', 'O_Created', 'O_Sent (mail and online)', 'O_Returned'], ['O_Create Offer', 'O_Created', 'O_Refused', 'O_Sent (mail and online)', 'O_Returned'], ['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Refused'], ['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Refused', 'O_Returned']]"
6,BPI Challenge 2017 - Offer log.363d5ce8-cf50-4920-aaf1-c5cbfe94e774.pnml,"(places: [ n1, n2, n3, n4, n5 ]
transitions: [ (n10, 'O_Accepted'), (n6, 'O_Returned'), (n7, 'O_Sent (online only)'), (n8, 'O_Create Offer'), (n9, 'O_Created') ]
arcs: [ (n6, 'O_Returned')->n4, (n7, 'O_Sent (online only)')->n3, (n8, 'O_Create Offer')->n2, (n8, 'O_Create Offer')->n5, (n9, 'O_Created')->n1, n1->(n6, 'O_Returned'), n2->(n9, 'O_Created'), n3->(n10, 'O_Accepted'), n4->(n10, 'O_Accepted'), n5->(n7, 'O_Sent (online only)') ], [], [])","[['O_Create Offer', 'O_Sent (online only)', 'O_Created', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Sent (online only)', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Returned', 'O_Sent (online only)', 'O_Accepted']]"
7,BPI Challenge 2017 - Offer log.d38a23d1-849e-4621-9e20-374147386932.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Sent (online only)'), (n5, 'O_Create Offer'), (n6, 'O_Created'), (n7, 'O_Cancelled') ]
arcs: [ (n5, 'O_Create Offer')->n3, (n6, 'O_Created')->n1, (n6, 'O_Created')->n2, n1->(n7, 'O_Cancelled'), n2->(n4, 'O_Sent (online only)'), n3->(n6, 'O_Created') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (online only)', 'O_Cancelled'], ['O_Create Offer', 'O_Created', 'O_Cancelled', 'O_Sent (online only)']]"
8,BPI Challenge 2017 - Offer log.b1af9e70-3272-4bd1-86a2-8571d9542871.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Returned'), (n5, 'O_Sent (mail and online)'), (n6, 'O_Create Offer'), (n7, 'O_Cancelled') ]
arcs: [ (n4, 'O_Returned')->n3, (n6, 'O_Create Offer')->n1, (n6, 'O_Create Offer')->n2, n1->(n4, 'O_Returned'), n2->(n5, 'O_Sent (mail and online)'), n3->(n7, 'O_Cancelled') ], [], [])","[['O_Create Offer', 'O_Returned', 'O_Sent (mail and online)', 'O_Cancelled'], ['O_Create Offer', 'O_Sent (mail and online)', 'O_Returned', 'O_Cancelled'], ['O_Create Offer', 'O_Returned', 'O_Cancelled', 'O_Sent (mail and online)']]"
9,BPI Challenge 2017 - Offer log.de2f3f7d-de9a-4315-94f3-b2837d2c60df.pnml,"(places: [ n1, n2 ]
transitions: [ (n3, 'O_Sent (online only)'), (n4, 'O_Returned'), (n5, 'O_Created') ]
arcs: [ (n3, 'O_Sent (online only)')->n2, (n5, 'O_Created')->n1, n1->(n4, 'O_Returned'), n2->(n4, 'O_Returned') ], [], [])","[['O_Created', 'O_Sent (online only)', 'O_Returned'], ['O_Sent (online only)', 'O_Created', 'O_Returned']]"
