,Nets,Labels
0,BPI_Challenge_2012.1d9408e4-829e-4d81-87dd-946d63c8f0fc.pnml,46
1,BPI_Challenge_2012.ffa1c236-832a-4e67-8d28-9027ab1da175.pnml,103
2,BPI_Challenge_2012.af7ac563-e504-42f8-9573-90052fcd412b.pnml,115
3,BPI_Challenge_2012.7c725818-e282-471a-b20b-94f1d1cf1a35.pnml,123
4,BPI_Challenge_2012.8bd6bbb8-0e6f-421b-bb09-c154dcdddb00.pnml,245
5,BPI_Challenge_2012.dd1a250f-a756-4953-970d-a206967ceb0d.pnml,199
6,BPI_Challenge_2012.7fb404b3-682f-4ec1-986f-c7648e6aac63.pnml,221
7,BPI_Challenge_2012.82d3c69d-eb20-4e2c-aba5-f550bf808c06.pnml,15
8,BPI_Challenge_2012.d6afc313-ced2-46da-b54a-4761e7f11fa4.pnml,246
9,BPI_Challenge_2012.266fb519-3945-4fd1-b1e2-a0789c126c0f.pnml,208
10,BPI_Challenge_2012.7607ff9d-4cb8-4285-94c9-f49b73ffd148.pnml,78
11,BPI_Challenge_2012.ce80ee9c-4f32-4426-b81e-4d6138097677.pnml,37
12,BPI_Challenge_2012.b1d10337-21d2-453a-bcb6-0ab5a7d31567.pnml,124
13,BPI_Challenge_2012.0002f177-96c2-4967-be6c-8c1c24185fa8.pnml,62
14,BPI_Challenge_2012.200e1d23-4e3f-4fc3-b7b4-37fa9ee8bc65.pnml,163
15,BPI_Challenge_2012.a7964370-27d4-41d1-bd6f-2029f91abc21.pnml,272
16,BPI_Challenge_2012.3bac8008-5b1f-4d44-9f6b-16a0fc29968f.pnml,126
17,BPI_Challenge_2012.790198eb-afbc-48a1-8c94-254858b48eac.pnml,13
18,BPI_Challenge_2012.8568eff1-ee20-431c-a899-50bf2c80de75.pnml,112
19,BPI_Challenge_2012.b2043453-452c-477d-8861-9c9368297e23.pnml,9
20,BPI_Challenge_2012.0447e2d4-1511-4244-9bb6-70e8b7137d60.pnml,180
21,BPI_Challenge_2012.069f2f4b-dde6-494a-b68b-16739e7478cd.pnml,26
22,BPI_Challenge_2012.103432ea-f2de-41f3-afd0-0c0475d019d3.pnml,142
23,BPI_Challenge_2012.3cd82da4-b924-4d81-a48b-7757c0af1095.pnml,4
24,BPI_Challenge_2012.c6901073-ff4c-4dc0-86d5-aff225d7a8fc.pnml,46
25,BPI_Challenge_2012.04ee8847-c884-4561-88b5-f4295c1db9d5.pnml,15
26,BPI_Challenge_2012.99a03e50-12c7-42ac-8097-75ed42127a06.pnml,103
27,BPI_Challenge_2012.23a50990-5409-40d7-88a5-62a297541c57.pnml,199
28,BPI_Challenge_2012.4e572f1b-e5a2-4bae-bc3f-b2a315349ca7.pnml,135
29,BPI_Challenge_2012.db3d48d2-b986-4ff2-b72a-1dd2550cfb74.pnml,46
30,BPI_Challenge_2012.0161c391-01ba-48f1-86d7-0685cce1029d.pnml,248
