,BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,BPI_Challenge_2012.095a9248-4c32-4aca-b60b-2481ece88852.pnml,BPI_Challenge_2012.8dd76103-bafb-44e6-9846-82efd111ccf7.pnml,BPI_Challenge_2012.76c87124-025d-4aa6-9154-b84d86f9ec0a.pnml,BPI_Challenge_2012.3776bb87-0ceb-44cc-b8aa-1ea5a48ad231.pnml,BPI_Challenge_2012.f58b8813-8f72-48b2-a3b5-fb768238d7b4.pnml,BPI_Challenge_2012.bd28b87c-883f-46e7-980e-e7d3c881e7af.pnml,BPI_Challenge_2012.612a8436-d4af-4f20-b99f-9a0d232df47e.pnml,BPI_Challenge_2012.c9f44678-e401-4446-8ca8-6143ed0b57e8.pnml,BPI_Challenge_2012.98d91d50-ff6d-4854-a6d6-332f1f05555d.pnml,BPI_Challenge_2012.512eca77-bc93-41c9-8f0f-416bba7f4bb5.pnml,BPI_Challenge_2012.c6ff70a1-7215-4587-9879-bcddb5808011.pnml,BPI_Challenge_2012.eb904056-a521-40b2-b062-3a1631ce37d1.pnml,BPI_Challenge_2012.43c8aa74-a6f7-4ac1-9538-a5986ec9f4aa.pnml,BPI_Challenge_2012.a2859b40-7f76-4c87-a156-f2efe35b6bf5.pnml,BPI_Challenge_2012.5172eb7f-11cb-4f53-9de6-ba496d6ea5bc.pnml,BPI_Challenge_2012.59c5682d-b8f2-4923-b110-cfeb99da5e09.pnml,BPI_Challenge_2012.94b5033c-8ea2-4093-8061-8a128c05c252.pnml,BPI_Challenge_2012.420e6f2f-c72a-45ed-847b-2fae6303034e.pnml,BPI_Challenge_2012.f75500b7-06db-4fb0-8cce-afb9189d5402.pnml,BPI_Challenge_2012.c8a738c7-a15e-475c-83db-e5f782ce8d0e.pnml,BPI_Challenge_2012.9c259212-6496-4770-9fd6-15d75a764d96.pnml,BPI_Challenge_2012.a169bda7-f582-4589-919f-927bc53322df.pnml,BPI_Challenge_2012.de927382-50d5-4217-b33e-9b1c084d5c44.pnml,BPI_Challenge_2012.dcaae451-0d80-45e1-a21f-580a09d87397.pnml,BPI_Challenge_2012.0064a212-a5ed-4a12-947a-b4ee3d1b4564.pnml,BPI_Challenge_2012.cd76a7f0-e1d5-4042-bd92-7cc6e89c4757.pnml,BPI_Challenge_2012.19b0bbee-d7b8-4667-bf8d-b39ea17f819d.pnml,BPI_Challenge_2012.3304a063-1c03-4fa7-b8b3-34737579e674.pnml,BPI_Challenge_2012.3b50dd9f-e80d-4031-8242-42e7ea704a81.pnml,BPI_Challenge_2012.3c900653-3559-4c4b-99a1-450e3809ac4c.pnml,BPI_Challenge_2012.bfc1c94b-6ac2-4396-a6e3-81d17d5dddfa.pnml,BPI_Challenge_2012.98b2528d-c5ae-456e-8fbe-2f880487c632.pnml,BPI_Challenge_2012.1fba2b4d-0560-4d2c-a1c6-0eba6a4f177c.pnml,BPI_Challenge_2012.ed1fce6d-1c1e-4d4b-8b68-f48f4bf79640.pnml,BPI_Challenge_2012.fba096f9-bb46-4110-bf70-92d2150b2835.pnml,BPI_Challenge_2012.f31e8d0a-4a24-405e-b7ab-b9a6353a15c2.pnml,BPI_Challenge_2012.608ddf76-3edc-4ddf-9ec5-b0ee2c3fdbd1.pnml,BPI_Challenge_2012.4e949a7e-3d6a-4192-a3a0-83b8673711a8.pnml,BPI_Challenge_2012.657dbf1d-d38b-4348-ae4f-ce19325ee3ff.pnml,BPI_Challenge_2012.2d62f1dc-d53c-42a2-a272-db4ef00346f2.pnml,BPI_Challenge_2012.420f65f1-c007-48db-a393-0975c4a9a589.pnml,BPI_Challenge_2012.ad1bf3ca-655d-4ea2-9473-bf66c02e7092.pnml,BPI_Challenge_2012.3aaa7e17-b984-4cf8-9301-a1d2b46ee1fa.pnml,BPI_Challenge_2012.966a8360-77db-4cd8-bf1d-bf5cf7cb1f4c.pnml,BPI_Challenge_2012.8da129a6-99e6-481a-a3c0-5c008765975b.pnml,BPI_Challenge_2012.28e062b2-6736-4d93-965e-c796b0063e42.pnml,BPI_Challenge_2012.5477599c-71a1-43ec-9eaf-530c9d37429f.pnml,BPI_Challenge_2012.7c928206-afc8-425a-9694-4facad47a1ad.pnml,BPI_Challenge_2012.2dd224a2-1c9d-41fc-b77f-fdc8b2d288c6.pnml,BPI_Challenge_2012.a251888a-c848-436c-ad70-c7ed35c1965e.pnml,BPI_Challenge_2012.a8e2053f-f7f0-41b0-840b-8fb83e1a2a70.pnml,BPI_Challenge_2012.11fbb10c-0881-415e-8674-8907bc2de899.pnml,BPI_Challenge_2012.e7c90d39-8fa9-49c3-ade5-477c5ae002e3.pnml,BPI_Challenge_2012.430b2104-4320-44fd-9192-247d89797f8f.pnml,BPI_Challenge_2012.daff0008-2f9e-4487-a96a-370fa3a7835a.pnml,BPI_Challenge_2012.fc3d48a0-17da-4b37-93f1-59329737450e.pnml,BPI_Challenge_2012.f576ee6a-4ad7-4050-b116-d2640003a3d7.pnml,BPI_Challenge_2012.c0bb00d8-1916-4c98-b241-048b66ba25ab.pnml,BPI_Challenge_2012.5851cec6-79d9-48ee-bb59-83a1f180a338.pnml,BPI_Challenge_2012.fca66884-d13e-48c0-9f07-d464ed54ff5f.pnml,BPI_Challenge_2012.2bb9c72f-fc09-4417-9417-54dab403be22.pnml,BPI_Challenge_2012.162d629b-9220-4c6d-9b71-b3bc6949b7a1.pnml,BPI_Challenge_2012.5fbd385b-aa68-4e9b-bd1a-eea17edc30f7.pnml,BPI_Challenge_2012.1e813ca7-6dab-419f-bf2b-2a00917fb07c.pnml,BPI_Challenge_2012.2792e49b-02b3-4958-9190-20c73d1c2fe5.pnml,BPI_Challenge_2012.5a14d014-04fe-479a-a0dc-e277c7ffd98c.pnml,BPI_Challenge_2012.556b3e57-a88f-406f-9dcc-cb6a9930bc56.pnml,BPI_Challenge_2012.9bb8d0cf-c586-48f5-9c1d-32e008557adc.pnml,BPI_Challenge_2012.9ed36524-63c3-4756-a096-fd28dd360e30.pnml
BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,0.0006058020000003772,0.0004086070000002273,0.0004255359999998376,0.00042771400000019,0.00036896300000011095,0.0004184199999999194,0.00044460199999996064,0.0004393460000002847,0.00039390500000013873,0.00046705100000021815,0.0003736550000001948,0.0004434350000002141,0.0004503839999996373,0.0005553760000003294,0.0004475370000003309,0.00044861299999965354,0.0004423920000000692,0.0008183760000006757,0.0004412200000007971,0.0004520500000007033,0.00036160299999998813,0.00043699300000010766,0.00046001000000028824,0.0004140260000005114,0.00042221199999925574,0.00044465599999998773,0.00041443600000068415,0.0004585690000000753,0.0006339979999996359,0.00041685899999954756,0.0004153740000001349,0.0004146179999997557,0.000687148999999998,0.00045180800000022003,0.00043810900000007535,0.0004211710000001645,0.00046693500000039023,0.00041725999999986385,0.0004215749999998408,0.0003665570000004337,0.0004450560000002213,0.0005633290000002233,0.0003869270000000924,0.00047547599999919754,0.0006099859999997292,0.0005033080000007573,0.0004110669999999317,0.0004158399999996121,0.00038445099999950827,0.0005205379999999593,0.0004677370000010228,0.0004384790000013794,0.0004158519999997168,0.0004182690000007483,0.0003678429999993682,0.0004138329999996415,0.0004392480000010579,0.0004188799999997883,0.00046314099999911207,0.0004391149999989352,0.00041780100000110565,0.00041906699999927355,0.00043848499999832313,0.0003647119999996562,0.00041901099999996916,0.0004198520000002759,0.0004662209999999334,0.0003664089999997344,0.00044368000000005736,0.0004409980000001923,0.00041607100000007335,0.00040281999999969287,0.0004203909999986877,0.0004419210000001783,0.00036054399999940756,0.00044102199999862535,0.0004185610000000395,0.0006254559999998577,0.0006325779999993841
BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,0.00034021200000022844,0.00024182200000000265,0.0003021329999999267,0.0002689890000002748,0.00026206200000000734,0.00030087900000008716,0.0003024389999999322,0.000301606999999926,0.00027563600000002353,0.00031682899999996295,0.00026209100000018637,0.00030287000000006614,0.0002974400000002042,0.0003204779999999019,0.0003111080000000044,0.0003181940000001049,0.0002995370000000719,0.00045421500000042414,0.00032697299999995266,0.0003069180000006,0.00026074099999995326,0.0002992170000002403,0.0003158819999997675,0.000297892999999938,0.0002963019999997485,0.00031274700000061273,0.00034625100000074127,0.00030157000000041734,0.00044068600000013447,0.0002947589999999778,0.00029979600000018536,0.00027161400000075275,0.00043863700000024153,0.0003177460000003407,0.00036031100000055716,0.00035901300000062975,0.0003020550000005784,0.00032366699999997195,0.00032259299999992663,0.00025962700000015104,0.00033383899999961386,0.00033660199999996365,0.00026356100000057836,0.00032388400000016304,0.0003484449999993089,0.0003187470000005632,0.0003248449999997405,0.00032429699999969586,0.00026870199999962097,0.00032750200000108975,0.0003599080000000754,0.0003150749999996094,0.0003283010000014741,0.0003357980000000538,0.0003234210000009341,0.00027219299999892144,0.0003158929999997895,0.000295168000000956,0.0002982389999992563,0.0003181780000005574,0.0002981340000012267,0.0003168959999992893,0.0003140879999996571,0.00025895699999978206,0.00029765400000059117,0.0003258150000000626,0.00031267199999973627,0.0002645999999995041,0.0003973699999999525,0.00031764499999908935,0.00029986899999912,0.0002722819999991799,0.00031987600000071836,0.00032207199999945146,0.00025900900000053184,0.0003154309999988669,0.00029539500000019814,0.000435622999999552,0.00044581699999923785
BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,0.0003852420000001189,0.00031946700000018424,0.00030317399999990613,0.0003572840000001243,0.00032041100000013145,0.0003553679999996895,0.0003523439999999489,0.0003700970000002357,0.00030176100000023354,0.0003704930000001383,0.00029841500000005183,0.00035277400000000014,0.00034902300000005937,0.0003667580000001891,0.0003768120000007258,0.0003668150000004644,0.0003498620000002006,0.0005549610000006311,0.0003725169999997391,0.00041935800000025836,0.0003659460000005055,0.0003446920000005349,0.0003844730000004404,0.00035012200000039684,0.0003444410000001952,0.0003512629999997685,0.0003592399999998719,0.00035808300000006454,0.0005485419999997632,0.000349307000000465,0.0003879579999992444,0.00031066399999968297,0.000562704000000025,0.00035696000000040584,0.00035025900000018595,0.0003527310000004391,0.0003505859999997085,0.0003473420000004168,0.0005470330000001411,0.00040005200000070573,0.0003479999999997929,0.00034740200000005217,0.000294009000000095,0.00035367100000005536,0.00034801800000039407,0.00036863899999950434,0.0003839729999999264,0.0003508100000004788,0.0002970580000001277,0.00034968100000121183,0.00035205000000004816,0.000369175999999527,0.000483375999998259,0.00034707499999875324,0.00032005899999987264,0.0002974419999990374,0.0003474480000011937,0.0003469710000008064,0.00034790199999967797,0.00034862200000063126,0.0003492999999998858,0.0003631410000011215,0.0003957660000004637,0.00029615000000049463,0.0003498670000006143,0.000526055999999997,0.00035469699999879367,0.00029738099999931933,0.00034926699999893174,0.0004171139999993301,0.0003483739999996516,0.0002957480000009838,0.0003493730000005968,0.00034654899999964073,0.000292082999999721,0.00034585599999914507,0.00034867799999993565,0.0005552210000008273,0.0005455940000000936
BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,0.000363329999999884,0.0002779050000003558,0.0003561309999997597,0.00036502199999999263,0.0003283610000002213,0.000433875000000139,0.00034941199999982686,0.00035028299999995127,0.0002957929999998221,0.0003519780000003081,0.00038492000000012183,0.00034862200000018717,0.0003475230000002938,0.00036560300000054724,0.00036730099999982,0.0003501589999999055,0.00034527600000000547,0.0005644529999999648,0.00036592599999973885,0.00035719599999950447,0.00031724000000021846,0.00046360799999956015,0.00036460000000015924,0.00037913700000036243,0.0003470199999995316,0.00034882699999982947,0.0003517249999998029,0.0003516330000001844,0.0006057070000000664,0.0003495620000002475,0.00037235599999974056,0.0003087800000001195,0.0005609319999999585,0.0003460909999999373,0.0003513740000000709,0.00036780399999969404,0.00035459600000020686,0.0003815190000002744,0.00037909199999930365,0.0003069599999996342,0.0003501589999999055,0.00035211400000001447,0.00029646000000038697,0.00035259199999959634,0.0003485449999995893,0.0003813399999996747,0.00037176400000049625,0.0003495760000005177,0.00029237199999965213,0.0003807019999992889,0.00035245299999964175,0.0003887179999999546,0.00036804899999864915,0.0003486269999992686,0.00031576700000002234,0.00029358299999948656,0.0003428450000004801,0.00034595300000006546,0.00035076400000022545,0.00034917999999883875,0.0003465320000000105,0.0003467070000002792,0.0003475140000013255,0.0002920740000007527,0.0003506990000001764,0.00036015899999952694,0.00036484500000000253,0.00029264900000036675,0.0003601040000003053,0.00038945600000062086,0.000353631999999493,0.0003409889999996807,0.00034643900000119743,0.00037381899999999746,0.00029317699999964475,0.00034709700000057353,0.00034586099999955877,0.0005550879999987046,0.0005615739999988989
BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,0.00030448899999990786,0.00026296600000019765,0.00031097299999993666,0.00030419200000020297,0.00023923299999983882,0.0003235199999997995,0.00029678500000018815,0.0002975790000001588,0.00025967400000004304,0.00029703500000000105,0.0002781410000003426,0.00040924900000005593,0.0002974519999998648,0.00030375500000001665,0.00030759099999944084,0.0002981049999997154,0.00034552499999929154,0.00043604200000046944,0.0003080119999996356,0.00026528300000006055,0.0002719239999997569,0.0003206479999997569,0.0002974230000001299,0.00030228700000023423,0.00029468899999951503,0.0002963259999999579,0.00030751900000058896,0.00029595399999937655,0.0004678880000001939,0.00029381700000019606,0.00031255399999974287,0.0002611289999991939,0.0004496700000000686,0.00029148800000022845,0.00029627999999970456,0.0002994899999997358,0.00038935099999992673,0.0003137750000004047,0.00029897700000081073,0.00026326099999973707,0.0002948579999992873,0.00029533999999920013,0.0002604819999998398,0.00029684099999993663,0.00029684900000059855,0.0003003540000001692,0.00030924499999951394,0.000293933000000024,0.0002701489999994422,0.0003007170000000059,0.00029612700000036796,0.00030233200000040483,0.00029972100000108526,0.0002959639999993158,0.0002720529999997723,0.00025798699999945995,0.00047920100000098387,0.0002927140000004158,0.00029580400000028817,0.00029752400000049306,0.00029152799999998535,0.0002945819999986554,0.0003093600000010355,0.00034654699999947525,0.00029715500000015993,0.00029604000000027497,0.000296435000000983,0.00033948799999983237,0.00029559799999923086,0.000312989000001096,0.00029629900000038845,0.00027090299999876777,0.0002935160000010484,0.00029826699999979667,0.000267729000000827,0.00029186799999969537,0.00029746200000069223,0.00044884899999964034,0.00044006699999954435
BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,0.00035077999999977294,0.00031521100000020397,0.00035218000000014626,0.0003817979999998222,0.0003163349999999454,0.00032268299999982375,0.0003559439999998304,0.00036553699999997136,0.00042304599999987147,0.00046422900000031575,0.0003013509999996167,0.0003881709999999927,0.00035423699999981295,0.00036707299999960696,0.00045311600000008667,0.0003474140000001569,0.0003539269999999206,0.0007022499999997933,0.0003689729999996061,0.00035436399999966284,0.0003132859999999127,0.0003760399999999109,0.0004768289999992348,0.0003487480000003984,0.0004934319999998493,0.00035084599999990473,0.0003468580000003385,0.0003504260000006809,0.0006020050000001831,0.00038967500000008926,0.0003532210000001257,0.00030550800000028744,0.0005589470000000318,0.00041172899999963875,0.00034614399999988166,0.00035560999999972864,0.00037593800000035316,0.0003839709999997609,0.0003505320000005696,0.00029951899999947074,0.0003494809999997628,0.0003543559999998891,0.00034019499999971003,0.00034907199999967276,0.0003501560000005455,0.000351334000000314,0.0003702240000000856,0.0004067449999993755,0.0002991529999993858,0.0003525710000005233,0.00034844500000019707,0.00034718899999930386,0.0003537659999999221,0.0003961669999998918,0.0003116049999984938,0.000308091000000843,0.00036731400000000747,0.000350348999999639,0.0003520599999990992,0.0003487969999991236,0.0003482539999986045,0.0003500729999998953,0.00035242399999901863,0.00030520400000000336,0.0003502040000000761,0.00035164600000037183,0.0003509610000005381,0.00031884200000042995,0.00034951599999999416,0.0003709560000011436,0.0003762740000006204,0.00029692700000083505,0.0004892440000006104,0.0003612759999995774,0.0002966380000000157,0.00034844199999994885,0.00034980200000056527,0.000560697999999249,0.0005620240000006049
BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,0.00035857399999983386,0.0002992589999997186,0.0003530300000003095,0.0003738250000000498,0.00032529500000011424,0.00036030100000017384,0.00032081900000013874,0.00035687700000019973,0.0003072620000001969,0.00037511599999984213,0.0002953020000000528,0.0003654219999997821,0.00045955200000014074,0.00036258500000041494,0.00037840499999930444,0.0003944310000001394,0.00035443300000004285,0.0005755780000002986,0.0003340659999997442,0.0003447930000000099,0.00029358300000037474,0.00036596400000021845,0.000376666000000192,0.0003512770000000387,0.00036231799999963954,0.00034883399999952047,0.0003445320000006191,0.00039039199999990615,0.0005943720000001207,0.00036508200000007207,0.0003507740000001647,0.0002933030000003001,0.000565893000000095,0.000392806999999884,0.0003500050000004862,0.000361316999999417,0.0003631309999994059,0.0003519369999995803,0.0003496680000001362,0.00029292500000011046,0.0004109990000005226,0.0003660139999999146,0.00031835100000066063,0.0003487469999994275,0.0003507960000002086,0.0005378359999994586,0.00037204900000009644,0.0003594759999998587,0.00029260900000060985,0.00034668199999998706,0.0003683429999998822,0.00034703400000068996,0.00034616299999967737,0.0003551940000008358,0.0003110570000011137,0.0002935280000002649,0.00034727700000125594,0.00035960299999970857,0.0003443189999998708,0.0003468639999990586,0.00034488400000043384,0.000407399000000197,0.00035007100000150615,0.0002646970000004245,0.0004075839999995168,0.0003475500000007514,0.0004087130000005601,0.00032362900000038053,0.00034320799999854046,0.0003830340000003929,0.0003558790000006695,0.0002937500000008697,0.00032645500000150207,0.0003490790000011401,0.00029189099999982204,0.00034597199999986117,0.000346998000001264,0.0005645169999990429,0.0005590890000011228
BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,0.0003595239999998334,0.00030120900000030204,0.00036022299999993734,0.0003716370000002023,0.00031503799999965665,0.0003548780000000029,0.00035454399999990116,0.00030290499999985343,0.0002996790000002747,0.00035499200000010944,0.0002999620000001535,0.00037145699999996395,0.00038602500000006756,0.00036435399999934504,0.00035155399999986514,0.0003529950000000781,0.00035025599999993773,0.0005526910000002161,0.00040769699999998466,0.0003481110000000953,0.00029481899999961314,0.0003476599999991947,0.00037123500000024734,0.0003495539999995856,0.0003485039999997497,0.00034808599999980316,0.0003490900000002739,0.0003633550000001762,0.0006746980000000846,0.00034863299999976505,0.00034534899999982827,0.00029454800000028314,0.0005575100000001498,0.00036717900000038384,0.00042917100000039454,0.0003493560000000784,0.0003474189999996824,0.0003465199999999058,0.00034451299999993523,0.0002949409999999375,0.0003538459999994359,0.0003464819999994262,0.0003116400000005015,0.0004227139999999352,0.00034553500000011894,0.00036600900000038905,0.0003717390000002041,0.00034882899999999495,0.00029418000000003275,0.0003509699999995064,0.00034810899999904166,0.0003467760000006592,0.0003490980000009358,0.0003540050000001571,0.00029525400000096624,0.0002961649999999594,0.00034881300000044746,0.0003523340000004538,0.0003498870000004928,0.0003446810000014011,0.0003506830000006289,0.0003727990000008674,0.000362657000000155,0.00029722999999926003,0.00035927399999913234,0.0003508290000002745,0.00037604200000096455,0.00031034699999921145,0.0006416489999985231,0.00036579200000019796,0.0003532279999998167,0.00029543499999995504,0.0003541929999997251,0.0003504749999994061,0.00029504799999990894,0.00034711400000020376,0.00034799900000059836,0.0005563790000007174,0.0005534459999996244
BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,0.0003039760000000946,0.00028979100000015023,0.0002998160000000638,0.00031301099999980764,0.00027366200000011887,0.0003136280000002323,0.00031197600000032466,0.00030050100000034163,0.00024126799999990567,0.0002954239999999331,0.0002584859999998912,0.0002958139999997833,0.0003141600000002853,0.00030427399999943816,0.0002969749999994775,0.0003131380000001016,0.00026259499999969904,0.0004377629999998689,0.00031045600000023654,0.0004241199999999168,0.00027363299999993984,0.00029670700000039574,0.00029728699999953534,0.00029576799999997405,0.00029631800000018416,0.00035455100000003625,0.0002960639999995962,0.0003218039999994815,0.0004508279999999587,0.00029373599999971134,0.0002961350000001417,0.00025860099999963637,0.00043632100000046137,0.00030946199999970503,0.00032369100000018136,0.0002958849999998847,0.00029694299999949436,0.0002931639999994573,0.00029885399999951545,0.00025829400000088043,0.00032563700000043383,0.00029837299999968536,0.000264480999999428,0.0003199039999994824,0.0002992729999995447,0.0002987970000001283,0.000327356000000556,0.00029464999999984087,0.00030415099999991924,0.0002978099999992878,0.0002936079999997787,0.0002973189999995185,0.00029782300000036344,0.0002974260000012663,0.000260030000001521,0.00025581299999899443,0.0002967119999990331,0.0002915879999996207,0.0003427500000015016,0.0002957679999990859,0.00033767999999945175,0.0003129509999997282,0.0002927889999995159,0.00025770899999955077,0.00031127899999994213,0.0002973069999985256,0.00029826899999996215,0.00026628800000061403,0.00031632199999975796,0.00031498500000104457,0.00029817300000090086,0.00025919800000018256,0.00029462799999890876,0.0003190899999996333,0.0002562469999993766,0.00029309899999852007,0.00029316999999906557,0.00043600500000096076,0.0004364529999989486
BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,0.0003566780000001657,0.00034754100000000676,0.0003507839999996598,0.000372742000000148,0.00032146099999996736,0.00035502100000028847,0.00034863999999990014,0.0003527679999999478,0.00029429300000005654,0.00030036900000007805,0.0003985530000001347,0.0003498969999999879,0.0003713889999996667,0.00042078300000003566,0.0003426480000001675,0.00035140800000021954,0.0003459059999997294,0.0005579360000007583,0.00036663599999986474,0.0003625540000005145,0.00029315599999968356,0.0004680050000001046,0.00034746300000065844,0.0003530310000003922,0.0003485940000000909,0.0003736390000002032,0.0003482679999997629,0.0003526499999999544,0.000554261999999639,0.0003470889999999116,0.0003500690000004525,0.00032594000000063517,0.0005538199999994831,0.00036479600000038914,0.00037476500000011015,0.00034751899999996283,0.00034928699999969837,0.00035255500000008766,0.0003469519999992343,0.0002924730000000153,0.0003453850000001424,0.00043621399999960175,0.0002977319999999395,0.0003711920000002422,0.0005288489999992763,0.0003476680000007448,0.0003520669999996784,0.00034850100000038964,0.00030105600000052135,0.0003414609999996543,0.0004277350000005953,0.000348994999999519,0.0003478709999988894,0.0003488489999998734,0.0002930149999986753,0.00038874300000024675,0.00034678599999971027,0.0003471390000004959,0.00035882899999961637,0.00034437899999950616,0.0003685159999999854,0.00036843700000055435,0.0003465980000001423,0.00029471400000069536,0.0003497399999989881,0.00034817400000086707,0.00036130499999842414,0.0002726320000014937,0.0003488850000010757,0.0004295159999987419,0.0003528569999993181,0.00029473899999921116,0.0003440329999992997,0.00034399399999962554,0.00029231700000131866,0.00034720199999860313,0.000343329999999753,0.0005517059999995411,0.0005698399999989334
