,BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,BPI_Challenge_2012.095a9248-4c32-4aca-b60b-2481ece88852.pnml,BPI_Challenge_2012.8dd76103-bafb-44e6-9846-82efd111ccf7.pnml,BPI_Challenge_2012.76c87124-025d-4aa6-9154-b84d86f9ec0a.pnml,BPI_Challenge_2012.3776bb87-0ceb-44cc-b8aa-1ea5a48ad231.pnml,BPI_Challenge_2012.f58b8813-8f72-48b2-a3b5-fb768238d7b4.pnml,BPI_Challenge_2012.bd28b87c-883f-46e7-980e-e7d3c881e7af.pnml,BPI_Challenge_2012.612a8436-d4af-4f20-b99f-9a0d232df47e.pnml,BPI_Challenge_2012.c9f44678-e401-4446-8ca8-6143ed0b57e8.pnml,BPI_Challenge_2012.98d91d50-ff6d-4854-a6d6-332f1f05555d.pnml,BPI_Challenge_2012.512eca77-bc93-41c9-8f0f-416bba7f4bb5.pnml,BPI_Challenge_2012.c6ff70a1-7215-4587-9879-bcddb5808011.pnml,BPI_Challenge_2012.eb904056-a521-40b2-b062-3a1631ce37d1.pnml,BPI_Challenge_2012.43c8aa74-a6f7-4ac1-9538-a5986ec9f4aa.pnml,BPI_Challenge_2012.a2859b40-7f76-4c87-a156-f2efe35b6bf5.pnml,BPI_Challenge_2012.5172eb7f-11cb-4f53-9de6-ba496d6ea5bc.pnml,BPI_Challenge_2012.59c5682d-b8f2-4923-b110-cfeb99da5e09.pnml,BPI_Challenge_2012.94b5033c-8ea2-4093-8061-8a128c05c252.pnml,BPI_Challenge_2012.420e6f2f-c72a-45ed-847b-2fae6303034e.pnml,BPI_Challenge_2012.f75500b7-06db-4fb0-8cce-afb9189d5402.pnml,BPI_Challenge_2012.c8a738c7-a15e-475c-83db-e5f782ce8d0e.pnml,BPI_Challenge_2012.9c259212-6496-4770-9fd6-15d75a764d96.pnml,BPI_Challenge_2012.a169bda7-f582-4589-919f-927bc53322df.pnml,BPI_Challenge_2012.de927382-50d5-4217-b33e-9b1c084d5c44.pnml,BPI_Challenge_2012.dcaae451-0d80-45e1-a21f-580a09d87397.pnml,BPI_Challenge_2012.0064a212-a5ed-4a12-947a-b4ee3d1b4564.pnml,BPI_Challenge_2012.cd76a7f0-e1d5-4042-bd92-7cc6e89c4757.pnml,BPI_Challenge_2012.19b0bbee-d7b8-4667-bf8d-b39ea17f819d.pnml,BPI_Challenge_2012.3304a063-1c03-4fa7-b8b3-34737579e674.pnml,BPI_Challenge_2012.3b50dd9f-e80d-4031-8242-42e7ea704a81.pnml,BPI_Challenge_2012.3c900653-3559-4c4b-99a1-450e3809ac4c.pnml,BPI_Challenge_2012.bfc1c94b-6ac2-4396-a6e3-81d17d5dddfa.pnml,BPI_Challenge_2012.98b2528d-c5ae-456e-8fbe-2f880487c632.pnml,BPI_Challenge_2012.1fba2b4d-0560-4d2c-a1c6-0eba6a4f177c.pnml,BPI_Challenge_2012.ed1fce6d-1c1e-4d4b-8b68-f48f4bf79640.pnml,BPI_Challenge_2012.fba096f9-bb46-4110-bf70-92d2150b2835.pnml,BPI_Challenge_2012.f31e8d0a-4a24-405e-b7ab-b9a6353a15c2.pnml,BPI_Challenge_2012.608ddf76-3edc-4ddf-9ec5-b0ee2c3fdbd1.pnml,BPI_Challenge_2012.4e949a7e-3d6a-4192-a3a0-83b8673711a8.pnml,BPI_Challenge_2012.657dbf1d-d38b-4348-ae4f-ce19325ee3ff.pnml,BPI_Challenge_2012.2d62f1dc-d53c-42a2-a272-db4ef00346f2.pnml,BPI_Challenge_2012.420f65f1-c007-48db-a393-0975c4a9a589.pnml,BPI_Challenge_2012.ad1bf3ca-655d-4ea2-9473-bf66c02e7092.pnml,BPI_Challenge_2012.3aaa7e17-b984-4cf8-9301-a1d2b46ee1fa.pnml,BPI_Challenge_2012.966a8360-77db-4cd8-bf1d-bf5cf7cb1f4c.pnml,BPI_Challenge_2012.8da129a6-99e6-481a-a3c0-5c008765975b.pnml,BPI_Challenge_2012.28e062b2-6736-4d93-965e-c796b0063e42.pnml,BPI_Challenge_2012.5477599c-71a1-43ec-9eaf-530c9d37429f.pnml,BPI_Challenge_2012.7c928206-afc8-425a-9694-4facad47a1ad.pnml,BPI_Challenge_2012.2dd224a2-1c9d-41fc-b77f-fdc8b2d288c6.pnml,BPI_Challenge_2012.a251888a-c848-436c-ad70-c7ed35c1965e.pnml,BPI_Challenge_2012.a8e2053f-f7f0-41b0-840b-8fb83e1a2a70.pnml,BPI_Challenge_2012.11fbb10c-0881-415e-8674-8907bc2de899.pnml,BPI_Challenge_2012.e7c90d39-8fa9-49c3-ade5-477c5ae002e3.pnml,BPI_Challenge_2012.430b2104-4320-44fd-9192-247d89797f8f.pnml,BPI_Challenge_2012.daff0008-2f9e-4487-a96a-370fa3a7835a.pnml,BPI_Challenge_2012.fc3d48a0-17da-4b37-93f1-59329737450e.pnml,BPI_Challenge_2012.f576ee6a-4ad7-4050-b116-d2640003a3d7.pnml,BPI_Challenge_2012.c0bb00d8-1916-4c98-b241-048b66ba25ab.pnml,BPI_Challenge_2012.5851cec6-79d9-48ee-bb59-83a1f180a338.pnml,BPI_Challenge_2012.fca66884-d13e-48c0-9f07-d464ed54ff5f.pnml,BPI_Challenge_2012.2bb9c72f-fc09-4417-9417-54dab403be22.pnml,BPI_Challenge_2012.162d629b-9220-4c6d-9b71-b3bc6949b7a1.pnml,BPI_Challenge_2012.5fbd385b-aa68-4e9b-bd1a-eea17edc30f7.pnml,BPI_Challenge_2012.1e813ca7-6dab-419f-bf2b-2a00917fb07c.pnml,BPI_Challenge_2012.2792e49b-02b3-4958-9190-20c73d1c2fe5.pnml,BPI_Challenge_2012.5a14d014-04fe-479a-a0dc-e277c7ffd98c.pnml,BPI_Challenge_2012.556b3e57-a88f-406f-9dcc-cb6a9930bc56.pnml,BPI_Challenge_2012.9bb8d0cf-c586-48f5-9c1d-32e008557adc.pnml,BPI_Challenge_2012.9ed36524-63c3-4756-a096-fd28dd360e30.pnml
BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,0.009942329,0.341938011,0.630137609,0.483697363,0.7222658649999998,0.1589971910000001,0.4289207159999999,0.4285520159999998,0.30643269500000025,0.5438521339999998,0.34972721299999954,0.43932242700000046,0.4415369259999995,0.3943062470000003,0.22829870099999994,0.012873595000000293,0.11673698099999985,0.6678438989999993,0.6261537129999999,0.4308521299999999,0.20563721799999968,0.42883357200000116,0.5510122390000003,0.012751882999999964,0.44766391799999994,0.43429187599999963,0.7161625449999995,0.040444664000000685,5.738211166000001,0.2024366620000002,0.2798887559999983,0.17415587800000054,0.6846515199999992,0.4198354569999978,0.11817492900000204,0.4409609950000011,0.11521942199999913,0.1550329409999982,0.05737555400000005,0.695863327999998,0.010366975000000167,0.6070942119999998,0.18931251400000093,0.48187988400000137,0.4198104580000006,0.4369334839999972,0.11684955500000171,0.3799906550000003,0.40095427400000005,0.4317327760000005,0.14128060700000233,0.6913969789999967,0.17399239599999916,0.5577552049999994,0.6477202099999992,0.3072707219999984,0.44885699700000004,0.46913693000000123,0.41939152100000143,0.678584027000003,0.6157987659999975,0.012985352999997701,0.46820780899999903,1.6239844540000021,0.4070635849999995,0.3743625239999986,0.23940443600000094,0.43101024000000265,0.16268605899999855,0.168963300999998,0.325224630000001,0.38995985500000074,0.41537729099999865,0.41830927699999876,0.18252918299999976,0.6231114899999994,0.4047307830000051,0.20366072000000202,6.016938592999999
BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,0.341938011,0.009742466,0.126762051,0.010220262000000008,0.013290650000000015,0.781587964,0.874949656,0.3151136760000002,0.008639553999999716,0.05500987199999985,0.06201108699999969,0.11495929000000027,0.015134197000000071,0.058296666000000386,0.1612583270000001,0.6469409070000003,0.023496066999999954,1.9701947719999997,0.1358596710000004,0.01381347700000024,0.008068791000000353,0.02696306100000001,0.10828992399999926,0.7528436910000007,0.013431637000000052,0.15936239900000082,0.11168831799999968,0.6872982050000003,0.1787480429999997,0.03422176499999985,0.3201006700000004,0.008039977000000142,0.49622319199999954,0.13870843700000002,0.16170330100000108,0.24283168700000068,0.1511134709999986,0.8004268000000003,0.7768829630000003,0.07295881299999962,0.026405447000000137,0.303205504000001,0.009956558000000726,0.02359256499999951,0.16707620000000034,0.02772168599999958,0.1285791990000007,0.1651229049999987,0.009157435000000547,0.16397264999999983,0.9767404919999993,0.026441828999999473,0.15816423299999904,0.026336131000000762,0.02793413099999853,0.009320383000000376,0.016406819000000183,0.04547759699999965,0.11187690899999936,0.16051563100000088,0.16157214699999933,0.16449077000000045,0.013870563999999419,0.20957067299999999,0.031014889999999795,0.013843421999998995,0.16424843999999972,0.009163592000000165,0.1349641599999991,0.21617027199999939,0.025941512000001055,0.008084416999999178,0.05846891200000037,0.026265254000000127,0.03859833099999932,0.16024701699999966,0.02382597199999914,0.551238412,0.5666203710000008
BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,0.630137609,0.126762051,0.0071839300000000605,0.100993999,0.09470833899999999,0.439622395,0.38690182000000006,0.008728129999999945,0.11619006700000001,0.761181237,0.1066610349999999,0.014075322999999695,0.010601475000000082,0.0324465169999999,0.02146394099999993,0.3366144769999999,0.7690816460000001,0.01145940000000012,0.30345467300000006,0.013320363000000057,0.1190633929999998,0.12392112700000002,0.30258965300000007,0.44335958299999945,0.30632597999999955,0.023187305000000435,0.01414825300000011,0.09949563600000033,0.011827567000000094,0.018480233000000013,0.007873932999999944,0.11390111600000008,0.06903391699999961,0.32579355299999957,0.019063580999999274,0.016183982999999458,0.03902976899999988,0.07041705800000031,0.09192562100000057,0.0967232460000007,0.7425628829999997,0.00834497600000006,0.017150750999999964,0.09521776400000004,0.016382217999999504,0.011202663999999807,0.02010807599999964,0.022778575000000245,0.10505051799999965,0.02247000599999982,0.5165092179999995,0.014670869000000586,0.021927119999999967,0.11564355099999979,0.09576932500000002,0.10155466400000002,0.08900208299999957,0.13063991699999988,0.011289401000000865,0.022354758999998836,0.02326905700000026,0.09944752200000018,0.034499943000000144,0.2768218320000013,0.018157856000000194,0.03288314899999989,0.021912114999999233,0.10457365600000124,0.008659676999998922,0.1630611979999994,0.010536867000000782,0.11185093300000126,0.059758109999998865,0.010513976000000369,0.1140249709999992,0.0107865510000007,0.1063653819999999,0.06644686499999963,0.011970004000000145
BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,0.483697363,0.010220262000000008,0.100993999,0.007176226000000341,0.02135578700000096,0.7587903620000009,0.898853448,0.3028822860000001,0.026167255000000056,0.10219732400000003,0.10924418599999997,0.058931509999999854,0.01940798499999996,0.09992332100000012,0.22468447599999997,0.7499282490000001,0.15254348099999993,1.9698729649999995,1.5374440739999997,0.019046506000000463,0.026573033000000024,0.030127268000000207,1.49047208,0.825981796999999,0.16146975399999874,0.08136342999999968,0.06968101300000029,0.7232150819999994,0.15601004600000046,0.20595842800000064,0.300257298,0.02672688299999848,0.4325723029999988,0.20183935800000086,0.3175984439999997,0.15906164999999994,0.2954814509999988,0.8548633930000005,0.7551285630000013,0.05260985600000012,0.14504240599999996,0.3387208580000003,0.10480721599999931,0.00950353100000001,0.009548008999999524,0.03276989200000102,0.1345500510000015,0.08356609500000012,0.010882603000000657,0.08262966000000027,0.8910153090000001,0.028837470999999226,0.20392398399999934,0.08432883699999927,0.029835967000000352,0.02027198499999905,0.07055293500000026,0.5249579600000001,0.06774261199999998,0.08128583399999911,0.08210829500000116,0.1562585750000025,0.14189792300000192,1.7218870610000003,0.2060312799999977,0.13046810399999842,0.08051168899999794,0.020962004000001144,0.7478673180000008,0.305541281,0.029915536999997272,0.026863800000000992,0.3617191460000022,0.028133608999997506,0.12323864800000095,0.08160655600000055,0.008080444000000853,0.42253785599999816,0.4731317080000004
BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,0.7222658649999998,0.013290650000000015,0.09470833899999999,0.02135578700000096,0.0072689230000015925,0.6344795969999986,0.8160467390000008,0.06652642199999903,0.016130826999997794,0.4715703779999991,0.071970648,0.027929747000000005,0.011614207000000001,0.389935188,0.31365353500000004,0.686236598,0.24216279600000012,0.8456620569999997,0.34394505799999964,0.010105391999999824,0.06083251299999981,0.02506869800000011,0.7766738900000001,0.6129977489999998,0.2735084470000002,0.02641241999999977,0.024788243999999793,0.6498592489999995,0.17572929700000017,0.11905988399999945,0.06384935999999986,0.06670018600000027,0.16412967399999978,0.3347204779999995,0.1846614390000001,0.14889161400000006,0.18513285700000015,0.4095537699999996,0.6354797220000004,0.008246488999999357,0.8170199170000005,0.0692611689999989,0.2583146379999999,0.0259151279999994,0.21716925700000012,0.024942097000000274,0.10954404199999956,0.021455516999999702,0.01734350099999915,0.026060257999999337,0.3175245009999994,0.024996280999999954,0.3463861690000005,0.021879220000000643,0.010880423999999778,0.0700494410000001,0.04037776700000073,0.9122963029999998,0.025008758999998548,0.021837129000001454,0.0119294459999999,0.8390008680000012,0.2135999489999989,2.098582130999999,0.33526648900000033,0.20013798499999957,0.021945655999999758,0.07066558400000034,1.2692663710000005,0.18417931300000134,0.024153934999997517,0.0668108029999992,1.3300993319999996,0.012296318999997169,0.07005785099999784,0.025386641999997295,0.051628343999997384,0.21650518599999913,0.2390252590000017
BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,0.1589971910000001,0.781587964,0.439622395,0.7587903620000009,0.6344795969999986,0.007748580999997756,0.42761477499999856,0.4797707449999997,0.31798998300000036,0.8399115279999982,0.5084281060000002,0.28494204200000084,0.28511738899999983,0.6923849210000022,0.05447479099999697,0.017204907,0.32376,7.254098985000001,0.4754044060000009,0.4015889339999994,0.24206044000000126,0.36954864699999845,0.48403804500000014,0.014783784000000466,0.2484560499999997,0.49042671700000007,0.4895085720000001,0.015244682000000509,2.186125553,0.06915573599999902,0.42415176799999976,0.17763433700000064,5.667996013999998,0.20625159099999735,0.5377591630000005,0.26699749599999834,0.5285199499999997,0.0471935710000011,0.009972290000000328,0.4782427570000003,0.17006952899999916,0.7348666680000022,0.22923632199999844,0.7302562039999998,0.22191535299999998,0.40035871799999967,0.5594044149999995,0.7581393180000013,0.6138854959999982,0.4488620300000008,0.05547877899999776,0.4853533999999975,0.01636210900000279,0.5165886729999976,0.5392730599999993,0.4570127080000006,0.28682345800000064,0.7739749369999984,0.3695465270000007,0.37711551499999985,0.3792019740000008,0.16646684399999856,0.7989814580000001,0.8626249710000025,0.36945916699999515,0.6758185390000051,0.561639397999997,0.6192264999999963,0.01600821499999938,0.554700130999997,0.2571208800000022,0.5889526610000004,0.20480366500000002,0.372952638000001,0.2119344440000006,0.5024351640000049,0.212953277000004,7.159285365000002,1.8858239000000054
BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,0.4289207159999999,0.874949656,0.38690182000000006,0.898853448,0.8160467390000008,0.42761477499999856,0.0072599020000012615,0.03544679400000206,0.4319045770000045,0.09794460499999502,0.10105008699999729,0.07939092800000225,0.3740148199999993,0.01628408799999903,0.7721911149999983,0.5089997410000038,0.445922024000005,0.8602757449999956,0.009922117999998648,0.2600700610000004,0.5423704610000044,0.394473008,0.047558606,0.442147854,0.13750890000000004,0.39979763200000007,0.23103944200000015,0.4538599499999998,5.732693042999999,0.3913632059999994,0.011340069999999258,0.5543945109999999,5.415078675,0.0975543409999986,0.15997153200000014,0.46812464399999953,0.15877157599999947,0.009509502000000225,0.43724646799999967,0.2727455799999987,0.7982286520000006,0.0944674489999997,0.4273242239999995,0.34995671199999734,0.32371492100000054,0.3731478110000026,0.3803787270000001,0.363033055999999,0.10293667599999878,0.362353860999999,0.7775012130000007,0.3694669089999998,0.7774163050000027,0.3689461680000008,0.3832746769999993,0.11237815599999834,0.7771832179999976,0.015069294999999983,0.22101535300000208,0.3691741439999987,0.2816520380000007,0.3373117129999983,0.10022634699999955,0.00955067399999976,0.7762305960000013,0.038867422999999235,0.3796863479999999,0.12127772299999862,0.8696229309999985,0.2740566720000004,0.38072794099999996,0.5211757349999999,0.015265226000000354,0.26461711500000007,0.16878983199999809,0.7767922450000029,0.541396143,5.401028848000003,9.233451047000003
BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,0.4285520159999998,0.3151136760000002,0.008728129999999945,0.3028822860000001,0.06652642199999903,0.4797707449999997,0.03544679400000206,0.007443647999998859,0.39791698499999484,0.08957012099999417,0.1595253049999954,0.13283254400000288,0.07222389900000081,0.47888945999999777,0.7933549979999981,0.6090800469999991,0.41442200000000184,0.01162671500000556,0.2518575719999987,0.16443755199999543,0.3501570479999998,0.35283457599999934,0.2645777130000013,0.5919753479999983,1.0803481060000024,0.009277875000002211,0.009442755000002023,0.048252351999998666,0.031532305,0.8151089349999999,0.008196771000000047,0.39710500299999996,0.1899181219999999,1.1184731909999999,0.010714394999999932,0.017873599000000073,0.040772669999999955,0.0983268629999996,0.05068665399999972,0.16308309099999985,0.44111039399999985,0.008208758999999954,0.017824928000000018,0.17349259900000025,0.017052630999999874,0.07660774899999989,0.018471657000000086,0.010611658999999829,0.14943749299999975,0.009814098000000104,0.6518524969999997,0.00957466000000018,0.842785804,0.17365656300000065,0.07057794400000006,0.16310303199999954,0.19689418799999991,0.6548769249999999,0.0696404140000002,0.04151062700000008,0.03761813800000002,0.09325511300000056,0.3796377290000006,0.4458527409999995,0.7963413089999998,0.46837461199999986,0.04779104600000039,0.22607469899999977,0.04997049099999984,0.1088795470000008,0.07154029599999845,0.4086594250000015,0.6963490449999998,0.06981124400000027,0.4551056209999995,0.022266201000000763,0.2964907839999995,0.0783255270000005,0.01294001099999953
BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,0.30643269500000025,0.008639553999999716,0.11619006700000001,0.026167255000000056,0.016130826999997794,0.31798998300000036,0.4319045770000045,0.39791698499999484,0.008106620999999592,0.23531509200000045,0.03174726399999983,0.2491886259999987,0.14489212099999982,0.09650154599999894,0.040641625000001014,0.25488668500000067,0.010529412000000349,0.8339221079999994,0.10819296500000064,0.26339767499999844,0.009685331999998326,0.13985220100000006,0.09912880300000104,0.288945086,0.013076306000000315,0.07129043399999979,0.14086456199999908,0.2827504850000011,1.1735054280000004,0.015279138000000358,0.28791907799999805,0.00912767100000167,0.19731824800000197,0.10921051200000065,0.3212946390000013,0.40794045700000225,0.333742139,0.6776934299999999,0.29332976600000005,0.016044853000000137,0.019489807000000026,0.2667227619999999,0.03075690299999989,0.13695601899999987,0.04559728099999982,0.13934716999999996,0.21079576600000016,0.06207670700000012,0.05702283199999991,0.07051613699999981,0.6623317819999999,0.139015616,0.057873749000000085,0.0637462769999999,0.05062510299999978,0.054664577999999686,0.059179497999999775,0.05611230600000017,0.13998579999999983,0.0669728140000001,0.016917194999999996,0.047147967999999985,0.013401711999999844,0.30093136700000045,0.060619482999999974,0.013294665999999289,0.06305893900000026,0.05598713399999955,0.158630359,0.3546232489999994,0.14470446900000056,0.008928125999999814,0.08360838100000034,0.016582674000000353,0.05696224400000016,0.1390001380000001,0.01810241899999987,0.23242998999999998,0.6289837520000008
BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,0.5438521339999998,0.05500987199999985,0.761181237,0.10219732400000003,0.4715703779999991,0.8399115279999982,0.09794460499999502,0.08957012099999417,0.23531509200000045,0.007269475999999386,0.026590324999999915,0.10065964999999988,0.21282369700000014,0.1418520799999996,0.036685100999999776,0.049500775000000274,0.23555524400000039,1.152498865000001,0.8378749570000004,0.10661289899999993,0.01863368899999962,0.07041227000000028,1.0035116179999992,0.7915670299999995,0.5412298790000012,0.20955970800000046,0.20706915799999948,0.7593927760000003,0.5371306019999995,0.3270467589999999,0.09801537200000077,0.17635124999999974,2.2895717189999996,0.13790769400000258,0.2774587860000004,0.14854726500000126,0.03563167000000078,0.38436298299999905,0.054212224000000475,0.5398399640000022,0.009095627000000661,0.039029212999999174,0.24222762500000172,0.10435834100000108,0.6707280299999994,0.071919363,0.708573403,0.213347634,0.02657596299999998,0.0827102850000001,1.0259694350000002,0.2053276399999997,0.46635730499999983,0.2200904829999999,0.1591787710000001,0.02792275299999991,0.10200284700000006,0.1142148409999999,0.212578814,0.07197098299999993,0.10134201700000034,0.16335110099999994,0.3326609039999999,0.599678709,0.4467433139999999,0.31769737900000017,0.07209346099999969,0.010275229999999524,1.5918213109999995,0.30034314599999945,0.21344762799999994,0.1763195289999997,0.1853390440000009,0.10012305199999894,0.027450395000000682,0.20997806299999944,0.034171838000000676,0.540445526000001,3.1567379219999996
