,BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,BPI_Challenge_2012.095a9248-4c32-4aca-b60b-2481ece88852.pnml,BPI_Challenge_2012.8dd76103-bafb-44e6-9846-82efd111ccf7.pnml,BPI_Challenge_2012.76c87124-025d-4aa6-9154-b84d86f9ec0a.pnml,BPI_Challenge_2012.3776bb87-0ceb-44cc-b8aa-1ea5a48ad231.pnml,BPI_Challenge_2012.f58b8813-8f72-48b2-a3b5-fb768238d7b4.pnml,BPI_Challenge_2012.bd28b87c-883f-46e7-980e-e7d3c881e7af.pnml,BPI_Challenge_2012.612a8436-d4af-4f20-b99f-9a0d232df47e.pnml,BPI_Challenge_2012.c9f44678-e401-4446-8ca8-6143ed0b57e8.pnml,BPI_Challenge_2012.98d91d50-ff6d-4854-a6d6-332f1f05555d.pnml,BPI_Challenge_2012.512eca77-bc93-41c9-8f0f-416bba7f4bb5.pnml,BPI_Challenge_2012.c6ff70a1-7215-4587-9879-bcddb5808011.pnml,BPI_Challenge_2012.eb904056-a521-40b2-b062-3a1631ce37d1.pnml,BPI_Challenge_2012.43c8aa74-a6f7-4ac1-9538-a5986ec9f4aa.pnml,BPI_Challenge_2012.a2859b40-7f76-4c87-a156-f2efe35b6bf5.pnml,BPI_Challenge_2012.5172eb7f-11cb-4f53-9de6-ba496d6ea5bc.pnml,BPI_Challenge_2012.59c5682d-b8f2-4923-b110-cfeb99da5e09.pnml,BPI_Challenge_2012.94b5033c-8ea2-4093-8061-8a128c05c252.pnml,BPI_Challenge_2012.420e6f2f-c72a-45ed-847b-2fae6303034e.pnml,BPI_Challenge_2012.f75500b7-06db-4fb0-8cce-afb9189d5402.pnml,BPI_Challenge_2012.c8a738c7-a15e-475c-83db-e5f782ce8d0e.pnml,BPI_Challenge_2012.9c259212-6496-4770-9fd6-15d75a764d96.pnml,BPI_Challenge_2012.a169bda7-f582-4589-919f-927bc53322df.pnml,BPI_Challenge_2012.de927382-50d5-4217-b33e-9b1c084d5c44.pnml,BPI_Challenge_2012.dcaae451-0d80-45e1-a21f-580a09d87397.pnml,BPI_Challenge_2012.0064a212-a5ed-4a12-947a-b4ee3d1b4564.pnml,BPI_Challenge_2012.cd76a7f0-e1d5-4042-bd92-7cc6e89c4757.pnml,BPI_Challenge_2012.19b0bbee-d7b8-4667-bf8d-b39ea17f819d.pnml,BPI_Challenge_2012.3304a063-1c03-4fa7-b8b3-34737579e674.pnml,BPI_Challenge_2012.3b50dd9f-e80d-4031-8242-42e7ea704a81.pnml,BPI_Challenge_2012.3c900653-3559-4c4b-99a1-450e3809ac4c.pnml,BPI_Challenge_2012.bfc1c94b-6ac2-4396-a6e3-81d17d5dddfa.pnml,BPI_Challenge_2012.98b2528d-c5ae-456e-8fbe-2f880487c632.pnml,BPI_Challenge_2012.1fba2b4d-0560-4d2c-a1c6-0eba6a4f177c.pnml,BPI_Challenge_2012.ed1fce6d-1c1e-4d4b-8b68-f48f4bf79640.pnml,BPI_Challenge_2012.fba096f9-bb46-4110-bf70-92d2150b2835.pnml,BPI_Challenge_2012.f31e8d0a-4a24-405e-b7ab-b9a6353a15c2.pnml,BPI_Challenge_2012.608ddf76-3edc-4ddf-9ec5-b0ee2c3fdbd1.pnml,BPI_Challenge_2012.4e949a7e-3d6a-4192-a3a0-83b8673711a8.pnml,BPI_Challenge_2012.657dbf1d-d38b-4348-ae4f-ce19325ee3ff.pnml,BPI_Challenge_2012.2d62f1dc-d53c-42a2-a272-db4ef00346f2.pnml,BPI_Challenge_2012.420f65f1-c007-48db-a393-0975c4a9a589.pnml,BPI_Challenge_2012.ad1bf3ca-655d-4ea2-9473-bf66c02e7092.pnml,BPI_Challenge_2012.3aaa7e17-b984-4cf8-9301-a1d2b46ee1fa.pnml,BPI_Challenge_2012.966a8360-77db-4cd8-bf1d-bf5cf7cb1f4c.pnml,BPI_Challenge_2012.8da129a6-99e6-481a-a3c0-5c008765975b.pnml,BPI_Challenge_2012.28e062b2-6736-4d93-965e-c796b0063e42.pnml,BPI_Challenge_2012.5477599c-71a1-43ec-9eaf-530c9d37429f.pnml,BPI_Challenge_2012.7c928206-afc8-425a-9694-4facad47a1ad.pnml,BPI_Challenge_2012.2dd224a2-1c9d-41fc-b77f-fdc8b2d288c6.pnml,BPI_Challenge_2012.a251888a-c848-436c-ad70-c7ed35c1965e.pnml,BPI_Challenge_2012.a8e2053f-f7f0-41b0-840b-8fb83e1a2a70.pnml,BPI_Challenge_2012.11fbb10c-0881-415e-8674-8907bc2de899.pnml,BPI_Challenge_2012.e7c90d39-8fa9-49c3-ade5-477c5ae002e3.pnml,BPI_Challenge_2012.430b2104-4320-44fd-9192-247d89797f8f.pnml,BPI_Challenge_2012.daff0008-2f9e-4487-a96a-370fa3a7835a.pnml,BPI_Challenge_2012.fc3d48a0-17da-4b37-93f1-59329737450e.pnml,BPI_Challenge_2012.f576ee6a-4ad7-4050-b116-d2640003a3d7.pnml,BPI_Challenge_2012.c0bb00d8-1916-4c98-b241-048b66ba25ab.pnml,BPI_Challenge_2012.5851cec6-79d9-48ee-bb59-83a1f180a338.pnml,BPI_Challenge_2012.fca66884-d13e-48c0-9f07-d464ed54ff5f.pnml,BPI_Challenge_2012.2bb9c72f-fc09-4417-9417-54dab403be22.pnml,BPI_Challenge_2012.162d629b-9220-4c6d-9b71-b3bc6949b7a1.pnml,BPI_Challenge_2012.5fbd385b-aa68-4e9b-bd1a-eea17edc30f7.pnml,BPI_Challenge_2012.1e813ca7-6dab-419f-bf2b-2a00917fb07c.pnml,BPI_Challenge_2012.2792e49b-02b3-4958-9190-20c73d1c2fe5.pnml,BPI_Challenge_2012.5a14d014-04fe-479a-a0dc-e277c7ffd98c.pnml,BPI_Challenge_2012.556b3e57-a88f-406f-9dcc-cb6a9930bc56.pnml,BPI_Challenge_2012.9bb8d0cf-c586-48f5-9c1d-32e008557adc.pnml,BPI_Challenge_2012.9ed36524-63c3-4756-a096-fd28dd360e30.pnml
BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,0.000844257000000237,0.000351352000000027,0.00034999500000010286,0.0005661329999999687,0.0003570790000000379,0.00035811100000016083,0.0003613740000001364,0.00036892000000010583,0.00036680099999975013,0.0003779680000000063,0.00037825499999977197,0.0005538579999999627,0.00037231100000001405,0.0011378650000000157,0.0003483349999999774,0.00034637300000017746,0.0003454160000000428,0.00037900000000012923,0.0003511519999999102,0.0003617270000000339,0.000356923000000009,0.00036497299999993515,0.00035347499999982546,0.0004260440000001253,0.00036214600000006314,0.0003579070000001572,0.0003514839999998465,0.000357081999999842,0.0003728789999999371,0.00034850799999963655,0.0003460180000001145,0.00035629500000000647,0.00037731100000026885,0.000412221000000379,0.00034835499999985586,0.00035117700000020236,0.00035326500000021355,0.00036249100000018686,0.0005526580000001502,0.00035124500000005554,0.00037449800000022293,0.00036463800000019475,0.0003489059999997046,0.0003470599999997326,0.00034444500000008205,0.00034308399999982697,0.00035661099999995116,0.0004444029999994825,0.00048060400000071724,0.00034778200000040727,0.00037902799999933734,0.00034426299999967824,0.0003540070000003226,0.0004097720000002525,0.0003459750000001094,0.0003472190000000097,0.00036171500000037327,0.000487966999999756,0.0003520460000006054,0.00034211200000022757,0.0005043300000000528,0.00035423899999997843,0.0003469899999997139,0.00037979299999957306,0.0003452509999997133,0.0003459729999999439,0.0003530800000000056,0.00034597799999946943,0.0003615789999997787,0.0003454659999997389,0.00034576599999969204,0.0004654879999996808,0.00035875099999937987,0.00042088899999992435,0.0003423169999994258,0.00036013099999987475,0.00034326499999970395,0.00037644699999983544,0.0003818039999998746
BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,0.0002692770000001232,0.00022648600000030328,0.00022865799999971514,0.0002868169999996617,0.00036243200000019016,0.00023021099999986916,0.00023419399999990986,0.00023357599999984657,0.00023402199999988937,0.00023027300000011408,0.00023525600000029456,0.0002760219999999869,0.0002374249999999023,0.0002460520000000521,0.00023109499999973693,0.00022747100000009013,0.00022889500000022878,0.00025771399999996447,0.0002361249999998094,0.0002330530000000941,0.0002324280000003398,0.00024448599999971066,0.00023142100000006494,0.0002366700000000499,0.00024067799999993866,0.00034876999999999825,0.0002319299999999913,0.00023474800000000684,0.00027109699999972037,0.00022975100000000026,0.00022976200000002223,0.0002294449999999948,0.000255504000000073,0.0002491749999999904,0.0002295629999999882,0.0002296790000002602,0.0002301980000001258,0.00024204199999999787,0.0002520540000001681,0.00023363599999992601,0.00025458499999997386,0.0002360279999997772,0.0002313489999998808,0.00023045000000010418,0.0002299240000001035,0.0002300609999998926,0.00023310600000048254,0.00028412400000021876,0.00032324699999985995,0.00023196600000030543,0.00025789800000008967,0.00024695099999938463,0.00023462500000004383,0.0002565160000003175,0.00023053199999978347,0.00023441400000034918,0.0002473280000003797,0.0002506190000000075,0.00023334399999974664,0.00023263099999937253,0.00027469700000004593,0.00023263599999978624,0.00023472699999960156,0.0002606930000004226,0.0002297360000005355,0.00041708799999984336,0.00023529599999960737,0.00023135899999982001,0.00024164500000001254,0.00023115900000014733,0.00023278100000023727,0.0002785049999998179,0.00024060900000044683,0.00024396500000012367,0.00023034799999965827,0.00023207100000011138,0.00022947900000058752,0.00025851499999962613,0.000263515000000325
BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,0.00023266499999996526,0.000220549999999875,0.00021723800000028604,0.00023486200000011337,0.00025511599999994417,0.00021978600000016613,0.00022210400000011177,0.00022374100000011055,0.0002228099999999067,0.00021973000000041765,0.00022018099999998597,0.0002454670000000547,0.00022371099999984878,0.0002222910000000411,0.00021839300000037198,0.00023150899999979657,0.00021844700000039907,0.00024793100000009005,0.0002200260000000398,0.000220590000000076,0.00024813400000001096,0.0002337279999999886,0.00021731999999996532,0.00021810799999988362,0.0002236149999998993,0.0002908349999999338,0.000218266000000078,0.0004436549999997652,0.00026881000000011923,0.0002197569999999871,0.0002197379999997473,0.0002148540000002086,0.00024574800000021213,0.0002527549999999934,0.00023252499999992793,0.00022112700000009866,0.0002159509999999365,0.00022252200000005828,0.00023155799999985405,0.00021861400000000586,0.00023775199999986896,0.00022178800000016707,0.0002210429999998098,0.0002200640000000753,0.00022044800000031728,0.000217079000000453,0.0002186879999994673,0.00023282499999943695,0.0002428779999998909,0.00022098100000000898,0.0002384680000000472,0.00022320300000000515,0.00022651799999984235,0.0002738039999998776,0.00021897800000036938,0.00021911700000032397,0.00023841700000026833,0.0002264859999998592,0.00022118900000034358,0.00021998800000044838,0.0002327370000001494,0.00022243399999943847,0.00022118600000009536,0.00027145699999930883,0.00021857099999955665,0.00025121799999983097,0.0002227420000000535,0.00022945200000012989,0.00023652299999987747,0.0002191720000004338,0.00021869600000012923,0.00023002599999966122,0.00022577899999998152,0.0002235559999999026,0.00022333799999962878,0.00021934799999989707,0.000218196999999698,0.00024535900000000055,0.0002503719999999987
BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,0.0002245020000000153,0.00023144800000007848,0.00021816799999996306,0.0002247849999998941,0.00024703699999983897,0.00022724299999987707,0.0002294640000002346,0.00021922700000009954,0.00022231300000008503,0.00021758000000016153,0.00021790900000029367,0.00024221199999985288,0.00021914700000014165,0.00021865599999992824,0.00021600600000004633,0.00021705399999971675,0.00021536700000002185,0.0002437650000000069,0.0004668230000000051,0.00021678500000010814,0.0002196529999998198,0.00022999999999973042,0.00021550299999972822,0.00021274300000007074,0.0002211349999998724,0.0002447440000001855,0.00021494500000018846,0.0002604819999998398,0.0002477690000000088,0.0002282160000000033,0.00023011100000003282,0.0002139969999999103,0.00024341700000007904,0.00022765400000013258,0.0002182799999999041,0.00021509299999999953,0.00021627299999993355,0.00021555500000003391,0.0002198870000000852,0.0004576589999998326,0.00023597999999980246,0.00021763700000043684,0.00021780000000015676,0.0002213799999997157,0.0002154440000001756,0.00021375100000042835,0.00021521599999996255,0.0002245229999999765,0.00023423099999941854,0.00021572699999961031,0.00023284099999987262,0.00021851400000016952,0.0002213190000004417,0.0002281139999995574,0.00021585600000051386,0.00021485799999965138,0.00041368800000007866,0.00022228799999979287,0.00021565100000042747,0.00021696500000079055,0.00022601499999996832,0.00021658000000002176,0.0002169419999997757,0.00024160099999992468,0.00021364899999998244,0.00022719599999998508,0.00021614999999997053,0.00021855000000048364,0.00023326400000023284,0.00021593300000066762,0.0002722500000000849,0.00022108599999981493,0.00021940399999920146,0.00023179699999964498,0.00021737500000007515,0.00021457899999965946,0.0002142469999997232,0.00024193800000027466,0.0002469519999994674
BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,0.0002348130000000559,0.00021717700000012385,0.000215866000000009,0.00022204199999986685,0.00024411499999965613,0.0002133440000000597,0.00022114400000017298,0.0002147899999997982,0.00021814900000016735,0.00021546599999977545,0.0002130110000000407,0.00023640700000004955,0.0002155290000001031,0.00021616200000007524,0.00021332300000009852,0.0002128529999998463,0.00021339500000028266,0.00024162199999988587,0.0002619600000000055,0.00021743900000004146,0.00021694999999999354,0.00022995799999980804,0.00021384999999973786,0.00021118999999991672,0.000216829000000196,0.0002489319999998685,0.00021632699999996063,0.0002392159999997645,0.00024477399999955907,0.00021643800000026303,0.0002144930000000933,0.00021187300000002907,0.00024276200000006298,0.00022116500000013417,0.00021438299999987365,0.00021292000000006084,0.00021361899999972067,0.00021553900000004234,0.00021245699999994372,0.0002589699999999695,0.00023255799999999383,0.0002128200000002245,0.00021423199999981435,0.00021540399999997462,0.00021208300000008506,0.00022386100000026943,0.000216766999999507,0.00022003900000022725,0.00022361400000026066,0.00021398200000000145,0.00023161600000065619,0.00021631400000021728,0.00021343500000003957,0.00022890199999991978,0.00040767299999977524,0.00021605299999993832,0.0002575120000001263,0.0002162999999999471,0.00021489700000021372,0.0002930250000003909,0.00022007400000045862,0.00021463499999985203,0.00021535299999975166,0.00024202999999989316,0.00022566099999998812,0.00022060499999998484,0.00021619999999966666,0.00021389299999974298,0.00023167199999996058,0.00021044899999989042,0.0002971419999999725,0.00021884300000074575,0.00021666900000028022,0.0002189949999999996,0.00021712900000014912,0.00021391800000003514,0.00021221699999962595,0.0002433170000006868,0.000244105000000161
BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,0.000221823999999593,0.00021459600000017787,0.00021434700000000362,0.0002194239999999681,0.00022731800000030944,0.00021395600000007065,0.0002168099999999562,0.00023167900000009567,0.00021555600000011665,0.00021571600000003244,0.0002137260000001362,0.00023062400000029015,0.00021320500000010512,0.00021449399999973195,0.00021278600000007586,0.0002181810000001505,0.00021434099999995126,0.00024084799999979367,0.00024074299999998772,0.00021485600000037408,0.00021505600000004677,0.00022919099999985093,0.00021506899999979012,0.00021487900000005666,0.00021563700000015729,0.00022680799999985624,0.000213378999999847,0.00023962499999985454,0.00024377499999994612,0.0003604439999995712,0.00021365200000023066,0.00021110799999979335,0.00023908700000019323,0.00021786900000009268,0.00021505399999988128,0.00022551700000006392,0.00021459799999989926,0.00030230200000014307,0.00021591699999978786,0.0002406740000000518,0.00023107300000013709,0.000212478000000349,0.00021426199999963202,0.00021352700000010216,0.00021485800000009547,0.00021263699999973795,0.00021427200000001534,0.0002174889999997376,0.00021701400000040394,0.00021094100000063065,0.00023030699999981863,0.0002170700000005965,0.00021535999999944266,0.00021766199999984082,0.000252724000000093,0.00021249499999953514,0.0002434109999995826,0.00021373099999966172,0.00021503200000072553,0.0002948260000001923,0.0002188979999999674,0.00021410399999943763,0.00022708699999984816,0.00024196099999951315,0.00021584899999993468,0.00021696900000023334,0.00021413699999950353,0.00021514999999983075,0.00022374599999963607,0.00021562700000021806,0.00024546499999988924,0.00021634999999964322,0.0002180110000002955,0.00021613400000042304,0.00036957200000031776,0.0002115460000000624,0.0002120479999998537,0.00024272099999933516,0.00024176800000041965
BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,0.00021821999999982467,0.00021710200000013558,0.00037502700000002775,0.0002180699999998481,0.00022343700000027056,0.0002143229999997942,0.0002141130000001823,0.0002138160000000333,0.00021523199999995413,0.00021602300000012065,0.0002143110000001336,0.00022386799999996043,0.00021250899999980533,0.0002150189999996499,0.0002114959999999222,0.00021260199999995066,0.00021284399999998982,0.00025188999999992134,0.00024127200000023663,0.0002141249999998429,0.0002134099999997474,0.0002273550000002622,0.00021298100000022302,0.00021163899999976366,0.00021498300000022397,0.00021972999999997356,0.0002603119999999848,0.000227515000000178,0.00024059199999992842,0.0002585710000002628,0.00021240100000019524,0.00021209199999994155,0.00024011999999995481,0.00021770700000001142,0.00021452399999999372,0.00021412200000003878,0.0002114610000001349,0.00028296800000005007,0.0002123980000003911,0.00023816999999981547,0.00022953899999977878,0.00021210199999988077,0.00021304799999999346,0.00021305900000001543,0.00021117000000003827,0.00021369500000023578,0.00021490399999990473,0.00021385299999998608,0.00021799100000041705,0.00021369899999967856,0.00023056700000001484,0.0002156680000000577,0.0002134360000001223,0.000213285000000063,0.00023881399999936548,0.00021521800000012803,0.00023773599999987738,0.00021756299999964313,0.0002131409999996947,0.00024811300000049386,0.00021796500000004215,0.00021373900000032364,0.00021503400000000283,0.00024305799999968514,0.00021380299999940178,0.00021697899999928438,0.0002147759999999721,0.000215562000000169,0.00022023000000004345,0.00021302199999961857,0.0002320430000004592,0.0002155310000002686,0.00021439300000025696,0.00021581000000026052,0.0002586520000003034,0.00021142099999948982,0.00021181800000036333,0.0002548239999997648,0.0002409239999998647
BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,0.0002181569999999411,0.00021501400000012438,0.00029446100000019015,0.00021678299999994266,0.00021879300000016144,0.00021484999999987764,0.0002133180000001289,0.00021203699999983172,0.00021420900000013177,0.0002154179999998007,0.0002138230000001684,0.00021734900000014434,0.0002152460000002243,0.00021698500000022491,0.0002138420000004082,0.00021266299999966876,0.00021341500000016111,0.00024540599999989254,0.00023493399999985343,0.00021370599999981366,0.00021429100000025514,0.0004922009999996924,0.00021255599999969732,0.00021144400000006058,0.0002148800000001394,0.0002179849999999206,0.00030734399999987616,0.00022343400000002234,0.00024524999999986363,0.00024216799999976502,0.00021407000000017717,0.0002108829999998285,0.00024059199999992842,0.00021636499999999614,0.0002145659999999161,0.00021352599999957533,0.0002119939999998266,0.0002444210000001057,0.0002138109999996196,0.0002340249999996935,0.0002444800000001024,0.00021466099999978283,0.00040682199999997337,0.00021412899999972979,0.00021464800000003947,0.00021224500000016633,0.0002142119999994918,0.00021603199999997713,0.00021696399999981963,0.00021414299999999997,0.000244268000000325,0.00021519500000000136,0.0002135369999995973,0.0002145629999992238,0.0002358730000002751,0.00021614499999955683,0.00023610700000009643,0.0002137539999997884,0.00021408899999997288,0.000243778999999833,0.00021780000000060085,0.00021594099999955318,0.00021304599999982798,0.00024035199999961065,0.00021408200000028188,0.0002154250000003799,0.00023081899999954913,0.00021420800000004903,0.00021599999999999397,0.00041508699999948107,0.00022575800000002033,0.0002138770000001955,0.00021451100000025036,0.00021718100000001073,0.0002416529999997863,0.00021243599999998253,0.0002157220000000848,0.00024169300000043137,0.0003424860000000862
BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,0.00021518500000006213,0.00021343399999995682,0.0002532999999997898,0.00021499699999960598,0.0002184450000002336,0.00021250500000036254,0.00021417400000034448,0.00021474200000026755,0.0002145869999998773,0.00021351899999988433,0.0004396340000001331,0.00021780500000012637,0.00021314500000002568,0.0002155950000002349,0.00021378199999988468,0.00021329800000025045,0.00035620700000027483,0.00024021699999998702,0.00023558899999986949,0.0002145730000000512,0.0002152739999998765,0.00026719399999963755,0.00021450300000003253,0.00044052500000013595,0.00021407399999961996,0.0002195019999997605,0.0002482239999999081,0.00021810799999988362,0.00024123999999980938,0.00023959000000006725,0.00021044199999975532,0.0002101629999997634,0.00045664099999997987,0.0002301980000001258,0.00021192700000005615,0.00021318300000006118,0.0002123809999998727,0.00023619899999971494,0.0002122679999998489,0.00023261600000035187,0.00023111900000039043,0.00021388100000008237,0.0002902670000000107,0.000212952000000044,0.0002132470000000275,0.0002137279999994135,0.00021364800000078787,0.0002145780000004649,0.00021277699999977528,0.00021311799999956804,0.0002284539999992674,0.00021698399999969809,0.0003274360000000698,0.00021611699999990464,0.00023150399999938287,0.00035192700000052923,0.0002353199999998168,0.00021391600000075783,0.00037119300000032496,0.00023847200000037816,0.00021559199999998668,0.0002141789999994259,0.00021429400000005927,0.00024237099999968592,0.00021310699999954608,0.00021632899999968203,0.00021669100000032415,0.00021422500000056743,0.00021695299999979767,0.00026025900000004043,0.0002219019999998295,0.0002146700000000834,0.00022550799999976334,0.00021469699999965286,0.00022801599999944244,0.0002122089999998522,0.00021395299999937833,0.00024026300000024037,0.0003163630000004858
BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,0.00022775500000005167,0.00021370300000000952,0.0002437529999999022,0.00021539000000014852,0.00021730500000005648,0.0002129399999999393,0.0002139880000000538,0.000215142000000057,0.00021617699999998408,0.00022632400000022201,0.00026195099999970495,0.00021345799999972215,0.0002136910000003489,0.00021355099999986749,0.00021421099999985316,0.00021107499999972745,0.0002850660000000005,0.0003305179999997243,0.00023390300000025732,0.00021335600000016441,0.00021387600000011275,0.0002447089999999541,0.00044886600000015875,0.0002656309999999884,0.00022994399999998194,0.0002175719999999437,0.00023864100000015043,0.0002150690000002342,0.00024229799999986312,0.00023347899999981436,0.00021228600000000597,0.00021162899999982443,0.00028779499999975755,0.00021674800000015537,0.00021369099999990482,0.0002129829999999444,0.000212695000000096,0.00023243099999969985,0.00021366400000033536,0.0002310070000000053,0.0002322859999996929,0.00021259200000001144,0.0002446329999998831,0.00021426300000015885,0.00021265599999997775,0.00021304599999982798,0.00021364499999965147,0.00021385999999967709,0.00021460999999955988,0.00021578800000021658,0.0002307220000004051,0.00021620900000041132,0.00025048400000038384,0.00021489899999949102,0.0002380670000006191,0.0003029259999998146,0.00023552199999965495,0.0002134099999997474,0.0002507469999999401,0.00023731099999935168,0.00021668900000015867,0.00021811999999954423,0.000213548999999702,0.00024085999999989838,0.00021225700000027103,0.00021468799999979638,0.00021549499999995447,0.00021303299999964054,0.00021743299999954502,0.00024278199999994143,0.00021832799999987884,0.00021225599999930012,0.00022326400000061142,0.00021569300000034985,0.00022233299999996348,0.00021137999999965018,0.00021393100000022258,0.0002429109999999568,0.00026264899999972613
